,address,latitude,longitude,nbed,nbath,ncar,historical_prices,type,historical_dates
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$480 per week,Unit/apmt,June 2014
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$500 per week,Unit/apmt,May 2014
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$480 per week,Unit/apmt,February 2014
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$470 per week,Unit/apmt,January 2013
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$490 per week,Unit/apmt,January 2013
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$480 pw,Unit/apmt,January 2012
0,"39/33 LATROBE STREET, MELBOURNE",-37.973871,145.058714,2,1,1,$550 per week,Unit/apmt,August 2022
0,"39/33 LATROBE STREET, MELBOURNE",-37.973871,145.058714,2,1,1,$550 per week,Unit/apmt,September 2022
0,"39/33 LATROBE STREET, MELBOURNE",-37.973871,145.058714,2,1,1,$550,Unit/apmt,August 2022
0,"39/33 LATROBE STREET, MELBOURNE",-37.973871,145.058714,2,1,1,$400 per week,Unit/apmt,August 2021
0,"39/33 LATROBE STREET, MELBOURNE",-37.973871,145.058714,2,1,1,$460 p.w,Unit/apmt,December 2007
0,"1802/560 LONSDALE STREET, MELBOURNE",-37.81373001,144.95558001,2,1,none,$600 per week,Unit/apmt,August 2022
0,"1802/560 LONSDALE STREET, MELBOURNE",-37.81373001,144.95558001,2,1,none,$600 per week,Unit/apmt,September 2022
0,"1802/560 LONSDALE STREET, MELBOURNE",-37.81373001,144.95558001,2,1,none,$600,Unit/apmt,August 2022
0,"1802/560 LONSDALE STREET, MELBOURNE",-37.81373001,144.95558001,2,1,none,$550 per week,Unit/apmt,May 2022
0,"1802/560 LONSDALE STREET, MELBOURNE",-37.81373001,144.95558001,2,1,none,$550,Unit/apmt,May 2022
0,"1802/560 LONSDALE STREET, MELBOURNE",-37.81373001,144.95558001,2,1,none,$550 per week,Unit/apmt,April 2022
0,"1802/560 LONSDALE STREET, MELBOURNE",-37.81373001,144.95558001,2,1,none,$500 per week,Unit/apmt,October 2021
0,"2404/350 WILLIAM STREET, MELBOURNE",-37.81127001,144.95647001,1,1,none,$460 per week,Unit/apmt,August 2022
0,"2404/350 WILLIAM STREET, MELBOURNE",-37.81127001,144.95647001,1,1,none,$460 per week,Unit/apmt,September 2022
0,"2404/350 WILLIAM STREET, MELBOURNE",-37.81127001,144.95647001,1,1,none,$460,Unit/apmt,August 2022
0,"812/118 FRANKLIN STREET, MELBOURNE",-37.808357,144.959008,1,1,1,$370 per week,Unit/apmt,August 2022
0,"812/118 FRANKLIN STREET, MELBOURNE",-37.808357,144.959008,1,1,1,$370 per week,Unit/apmt,September 2022
0,"812/118 FRANKLIN STREET, MELBOURNE",-37.808357,144.959008,1,1,1,$370,Unit/apmt,August 2022
0,"812/118 FRANKLIN STREET, MELBOURNE",-37.808357,144.959008,1,1,1,$330,Unit/apmt,March 2022
0,"812/118 FRANKLIN STREET, MELBOURNE",-37.808357,144.959008,1,1,1,$330 per week,Unit/apmt,March 2022
0,"812/118 FRANKLIN STREET, MELBOURNE",-37.808357,144.959008,1,1,1,$330,Unit/apmt,February 2022
0,"812/118 FRANKLIN STREET, MELBOURNE",-37.808357,144.959008,1,1,1,$350,Unit/apmt,November 2017
0,"812/118 FRANKLIN STREET, MELBOURNE",-37.808357,144.959008,1,1,1,$350 Weekly,Unit/apmt,November 2017
0,"812/118 FRANKLIN STREET, MELBOURNE",-37.808357,144.959008,1,1,1,$350 pw,Unit/apmt,November 2017
0,"812/118 FRANKLIN STREET, MELBOURNE",-37.808357,144.959008,1,1,1,$350,Unit/apmt,January 2017
0,"812/118 FRANKLIN STREET, MELBOURNE",-37.808357,144.959008,1,1,1,$350 per week,Unit/apmt,January 2017
0,"812/118 FRANKLIN STREET, MELBOURNE",-37.808357,144.959008,1,1,1,$350 pw,Unit/apmt,January 2017
0,"812/118 FRANKLIN STREET, MELBOURNE",-37.808357,144.959008,1,1,1,$350 pw,Unit/apmt,December 2016
0,"812/118 FRANKLIN STREET, MELBOURNE",-37.808357,144.959008,1,1,1,$330 p.w.,Unit/apmt,January 2008
0,"812/118 FRANKLIN STREET, MELBOURNE",-37.808357,144.959008,1,1,1,$330 pw,Unit/apmt,January 2008
0,"812/118 FRANKLIN STREET, MELBOURNE",-37.808357,144.959008,1,1,1,$330 pw,Unit/apmt,August 2007
0,"5606/81 A'BECKETT STREET, MELBOURNE",-37.80937001,144.96121001,3,2,1,"$1,200 per week",Unit/apmt,August 2022
0,"5606/81 A'BECKETT STREET, MELBOURNE",-37.80937001,144.96121001,3,2,1,"$1,200 per week",Unit/apmt,August 2022
0,"701/118 RUSSELL STREET, MELBOURNE",-37.8135130,144.9690830,2,2,1,"$1,150 per week",none,August 2022
