,SA2,SA2 NAME,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
365,213021343,Altona North,5951,5970,6280,6416,6665,7036,7324,7539
366,213021344,Newport,9431,9662,9889,10192,10489,10961,11216,11533
367,213021345,Seabrook,2668,2727,2785,2786,2783,2868,3015,3020
368,213021346,Williamstown,8806,8933,9141,9309,9534,9706,9996,10154
369,213031347,Braybrook,7400,7606,7906,8465,9056,9656,10124,10693
370,213031348,Footscray,7510,7920,8356,8912,9544,10319,10932,11301
371,213031349,Maribyrnong,6288,6507,6761,7163,7539,8028,8254,8528
372,213031350,Seddon - Kingsville,5033,5076,5221,5391,5466,5766,5893,6027
373,213031351,West Footscray - Tottenham,5833,6006,6239,6588,6751,7018,7297,7505
374,213031352,Yarraville,7979,8144,8365,8657,9051,9239,9495,9714
375,213041353,Bacchus Marsh,9746,9984,10413,10840,11109,11743,12241,12832
376,213041355,Hillside,8627,8924,9664,10580,11322,11999,13234,13769
377,213041356,Melton,8953,8799,8949,9112,9116,9880,9851,10019
378,213041357,Melton South,8634,9228,9796,10508,11310,11389,13561,14613
379,213041358,Melton West,7641,7866,8124,8491,8816,4859,9962,10446
380,213041359,Rockbank - Mount Cottrell,899,905,900,889,961,854,2188,3367
381,213041360,Taylors Hill,8384,8723,9104,9648,9909,10356,10512,10902
382,213041461,Burnside,2172,2145,2179,2326,2415,2604,2694,2803
383,213041462,Burnside Heights,2717,2749,2887,2986,3068,3251,3289,3419
384,213041463,Caroline Springs,9464,9825,10121,10449,10656,11113,11280,11530
385,213051361,Hoppers Crossing - North,10687,10673,10706,10849,10942,11196,11432,11451
386,213051362,Hoppers Crossing - South,9973,9776,9710,9912,10045,10351,10645,10907
387,213051363,Laverton,3140,3522,4030,4630,5039,5778,6275,6951
388,213051365,Tarneit,13375,14537,15718,17057,18045,20308,22755,25458
389,213051366,Truganina,6578,7551,8634,10181,11666,13583,15094,17078
390,213051368,Werribee - South,5979,5989,6044,6281,6384,6914,7428,8336
391,213051369,Wyndham Vale,9624,10116,10573,11204,11446,13064,13931,15141
392,213051464,Point Cook - East,4198,4848,5407,6022,6471,7939,8924,9880
393,213051465,Point Cook - North,11031,11581,11789,12284,12419,12983,13399,13669
394,213051466,Point Cook - South,4681,5563,6404,7140,7801,8772,9319,10044
395,213051467,Werribee - East,9109,9077,9094,9303,9533,9839,10101,10231
396,213051468,Werribee - West,6033,6007,6124,6377,6798,7605,8485,9783
397,214011370,Carrum Downs,10418,10601,10778,11116,11308,11691,12247,12512
398,214011371,Frankston,11607,11344,11403,11712,11844,12213,12820,13243
399,214011372,Frankston North,8823,8503,8603,8729,9005,9120,9526,9834
400,214011373,Frankston South,10556,10566,10678,10968,11129,11104,11240,11338
401,214011374,Langwarrin,13170,13297,13756,14249,14537,14621,14921,14904
402,214011375,Seaford (Vicnp),8791,8779,8763,8999,9246,9402,9621,9736
403,214011376,Skye - Sandhurst,6581,6952,7233,7403,7725,7926,8102,8253
404,214021377,Dromana,5061,5292,5565,5996,6313,6803,7109,7194
405,214021378,Flinders,3539,3510,3631,3688,3633,3720,3798,3770
406,214021379,Hastings - Somers,10538,10635,10908,11326,11436,11921,12302,12638
407,214021380,Mornington,12600,12698,13080,13350,13570,14175,14518,14806
408,214021381,Mount Eliza,10700,10683,10737,11130,11208,11375,11631,11642
409,214021382,Mount Martha,10244,10421,10719,10979,11103,11318,11608,11837
410,214021383,Point Nepean,8904,9018,9353,9735,9948,10236,10605,10772
411,214021384,Rosebud - McCrae,9502,9636,9865,10276,10456,10868,11072,11356
412,214021385,Somerville,10355,10277,10531,10850,11030,11166,11332,11527
413,215011386,Ararat,4071,4025,4065,4080,4046,4117,4258,4213
414,215011387,Ararat Region,1812,1813,1796,1826,1832,1845,1878,1890
415,215011388,Horsham,8965,8946,9079,9202,9192,9491,9612,9682
416,215011389,Horsham Region,2173,2191,2228,2210,2152,2205,2182,2227
417,215011390,Nhill Region,3999,3925,3886,3878,3775,3791,3814,3917
418,215011391,St Arnaud,1930,1872,1898,1895,1834,1851,1872,1871
419,215011392,Stawell,4452,4388,4359,4393,4299,4422,4552,4657
420,215011393,West Wimmera,1620,1622,1591,1599,1524,1593,1597,1616
421,215011394,Yarriambiack,3813,3771,3737,3651,3416,3600,3602,3555
422,215021395,Irymple,3177,3260,3296,3462,3349,3731,3843,4121
423,215021396,Merbein,2397,2410,2376,2444,2328,2529,2588,2612
424,215021398,Mildura Region,2041,2037,2048,2012,1880,1996,2039,2058
425,215021399,Red Cliffs,2887,2871,3002,3066,2769,2987,3024,3188
426,215021469,Mildura - North,8642,8597,8871,9004,9394,9785,9756,10131
427,215021470,Mildura - South,6101,6369,6688,6911,7097,7727,8845,8944
428,215031400,Buloke,3639,3596,3548,3537,3389,3449,3458,3412
429,215031401,Gannawarra,3536,3529,3553,3631,3501,3604,3654,3642
430,215031402,Kerang,2143,2051,2069,2112,2098,2014,2028,2016
431,215031403,Robinvale,1855,1807,1793,1686,1686,1764,1764,2028
432,215031404,Swan Hill,6181,6108,6151,6262,6219,6338,6427,6482
433,215031405,Swan Hill Region,3428,3428,3501,3534,3352,3529,3545,3593
434,216011406,Echuca,8192,8164,8288,8516,8616,8821,8968,9084
435,216011407,Kyabram,5795,5738,5753,5907,5995,5921,6018,6189
436,216011408,Lockington - Gunbower,1929,1978,2090,2111,2096,2165,2221,2267
437,216011409,Rochester,2114,2029,2095,2101,2136,2160,2194,2215
438,216011410,Rushworth,2104,2068,2029,2082,2059,2085,2060,2094
439,216021411,Cobram,3197,3145,3148,3137,3165,3227,3233,3301
440,216021412,Moira,1448,1463,1458,1516,1500,1567,1551,1621
441,216021413,Numurkah,6480,6510,6548,6717,6792,6844,6894,6938
442,216021414,Yarrawonga,3712,3686,3770,3881,3938,4108,4210,4310
443,216031415,Mooroopna,4079,3987,3975,4058,4052,4098,4120,4196
444,216031416,Shepparton - North,9973,10013,10088,10442,10506,10630,10890,11076
445,216031417,Shepparton - South,11573,11523,11667,12045,12144,12384,12618,12980
446,216031418,Shepparton Region - East,2443,2442,2467,2460,2446,2490,2516,2510
447,216031419,Shepparton Region - West,5473,5498,5554,5652,5674,5674,5719,5784
448,217011420,Glenelg (Vicnp),4881,4802,4795,4848,4837,4880,4982,5052
449,217011421,Hamilton (Vicnp),5871,5827,5762,5753,5998,5881,5850,5842
450,217011422,Portland,5833,5713,5740,5734,5704,5762,5919,6027
451,217011423,Southern Grampians,3783,3767,3755,3733,3691,3803,3757,3748
452,217031471,Camperdown,1964,1904,1914,1934,1914,1931,1920,1928
453,217031472,Colac,6739,6651,6657,6696,6914,6963,7237,7434
454,217031473,Colac Region,3214,3222,3240,3313,3306,3430,3486,3519
455,217031474,Corangamite - North,2987,3009,2998,2977,2847,3007,3053,3006
456,217031475,Corangamite - South,4290,4231,4302,4425,4338,4321,4377,4425
457,217031476,Otway,2110,2177,2176,2225,2212,2315,2297,2360
458,217041477,Moyne - East,3871,3790,3858,3890,3833,3879,3954,4081
459,217041478,Moyne - West,5401,5429,5435,5650,5602,5759,5765,5852
460,217041479,Warrnambool - North,11528,11577,11780,12185,12346,12694,12950,13157
461,217041480,Warrnambool - South,7121,7041,7124,7431,7583,7614,7734,8052
