,Year,Postcode,Offence Count
573,2013,3815,108
574,2013,3816,115
575,2013,3818,754
576,2013,3820,1182
577,2013,3821,97
578,2013,3822,38
579,2013,3823,79
580,2013,3824,259
581,2013,3825,2700
582,2013,3831,73
583,2013,3832,7
584,2013,3833,48
585,2013,3835,49
586,2013,3840,3418
587,2013,3842,539
588,2013,3844,3364
589,2013,3847,154
590,2013,3850,2037
591,2013,3851,239
592,2013,3854,42
593,2013,3856,29
594,2013,3857,16
595,2013,3858,242
596,2013,3859,36
597,2013,3860,401
598,2013,3862,95
599,2013,3864,9
600,2013,3865,3
601,2013,3869,45
602,2013,3870,77
603,2013,3871,132
604,2013,3873,11
605,2013,3874,46
606,2013,3875,1727
607,2013,3878,17
608,2013,3880,116
609,2013,3882,22
610,2013,3885,71
611,2013,3886,17
612,2013,3887,45
613,2013,3888,277
614,2013,3889,15
615,2013,3890,44
616,2013,3891,9
617,2013,3892,49
618,2013,3893,3
619,2013,3895,5
620,2013,3896,23
621,2013,3898,33
622,2013,3900,9
623,2013,3902,12
624,2013,3903,30
625,2013,3904,30
626,2013,3909,924
627,2013,3910,981
628,2013,3911,197
629,2013,3912,654
630,2013,3913,214
631,2013,3915,1294
632,2013,3916,47
633,2013,3918,127
634,2013,3919,184
635,2013,3920,21
636,2013,3922,518
637,2013,3923,13
638,2013,3925,194
639,2013,3926,68
640,2013,3927,35
641,2013,3928,17
642,2013,3929,78
643,2013,3930,466
644,2013,3931,1789
645,2013,3933,55
646,2013,3934,399
647,2013,3936,532
648,2013,3937,49
649,2013,3938,72
650,2013,3939,1295
651,2013,3940,319
652,2013,3941,940
653,2013,3942,110
654,2013,3943,289
655,2013,3944,75
656,2013,3945,52
657,2013,3946,7
658,2013,3950,306
659,2013,3951,12
660,2013,3953,391
661,2013,3954,7
662,2013,3956,114
663,2013,3957,1
664,2013,3958,1
665,2013,3959,18
666,2013,3960,88
667,2013,3962,26
668,2013,3964,2
669,2013,3965,23
670,2013,3966,24
671,2013,3967,1
672,2013,3971,285
673,2013,3975,484
674,2013,3976,1204
675,2013,3977,4635
676,2013,3978,190
677,2013,3979,7
678,2013,3980,145
679,2013,3981,233
680,2013,3984,232
681,2013,3987,20
682,2013,3988,17
683,2013,3990,9
684,2013,3991,24
685,2013,3992,21
686,2013,3995,997
687,2013,3996,283
688,2014,3000,15498
689,2014,3002,1228
690,2014,3003,733
691,2014,3004,5605
692,2014,3006,2624
693,2014,3008,1512
694,2014,3011,3195
695,2014,3012,1927
696,2014,3013,773
697,2014,3015,1107
698,2014,3016,1365
699,2014,3018,916
700,2014,3019,1111
701,2014,3020,6803
702,2014,3021,4658
703,2014,3022,439
704,2014,3023,4418
705,2014,3024,998
706,2014,3025,1155
707,2014,3026,1300
708,2014,3027,232
709,2014,3028,2009
710,2014,3029,5258
711,2014,3030,5644
712,2014,3031,2172
713,2014,3032,3317
714,2014,3033,640
715,2014,3034,514
716,2014,3036,360
717,2014,3037,2544
718,2014,3038,2434
719,2014,3039,1344
720,2014,3040,1349
721,2014,3041,729
722,2014,3042,1372
723,2014,3043,1478
