,postcode,sa2_2021,sa2_2016,year,gdp(USD Millioins),saving_rate(% of GDP),income_per_person,population_density,crime_cases
398,3133,211041272,211041272,2024,3850385,14.351000000009662,69970.2829486737,2712.0,821
399,3304,217011420,217011420,2024,3850385,14.351000000009662,60281.49361583358,445.0,231
400,3103,207011147,207011147,2024,3850385,14.351000000009662,98431.16183042713,3321.0,639
401,3066,206071141,206071141,2024,3850385,14.351000000009662,80617.89756463142,5982.0,2155
402,3189,208031191,208031191,2024,3850385,14.351000000009662,73098.47150905989,1197.0,1166
403,3023,213011569,213011330,2024,3850385,14.351000000009662,62958.98812173447,2416.0,4281
404,3875,213041575,213041355,2024,3850385,14.351000000009662,70104.3439216041,2302.0,2333
405,3134,211031268,211031268,2024,3850385,14.351000000009662,75173.33750280133,2524.0,3501
406,3691,204031491,204031074,2024,3850385,14.351000000009662,64732.27499931166,539.0,331
407,3125,207031166,207031166,2024,3850385,14.351000000009662,63935.61849691952,2878.0,969
408,3033,210011534,210011229,2024,3850385,14.351000000009662,70755.97237993265,3042.0,797
409,3260,217031471,217031471,2024,3850385,14.351000000009662,57880.7691916544,486.0,349
410,3147,207011146,207011146,2024,3850385,14.351000000009662,98786.44028671924,3190.0,1069
411,3177,212021295,212021295,2024,3850385,14.351000000009662,53190.43465668336,2541.0,1469
412,3025,213021343,213021343,2024,3850385,14.351000000009662,68897.71059708623,1296.0,1195
413,3216,203021485,203021041,2024,3850385,14.351000000009662,64487.752529068384,612.0,2977
414,3042,210011228,210011228,2024,3850385,14.351000000009662,75706.54908755422,948.0,1586
415,3012,213031347,213031347,2024,3850385,14.351000000009662,61061.060281016864,2651.0,2279
416,3072,209021429,209021429,2024,3850385,14.351000000009662,70778.16805917956,3832.0,5361
417,3134,211031267,211031267,2024,3850385,14.351000000009662,70144.02109788684,2548.0,3501
418,3055,206011107,206011107,2024,3850385,14.351000000009662,73433.84230428841,4712.0,980
419,3205,206041509,206041126,2024,3850385,14.351000000009662,87241.85521375854,11595.0,2381
420,3070,206021499,206021111,2024,3850385,14.351000000009662,84711.41756941564,4585.0,1953
421,3056,206011495,206011105,2024,3850385,14.351000000009662,74232.12997753033,5621.0,2876
422,3101,207011521,207011153,2024,3850385,14.351000000009662,117970.8990884442,3235.0,1522
423,3465,201031016,201031016,2024,3850385,14.351000000009662,53806.19412261108,653.0,1070
424,3939,214021384,214021384,2024,3850385,14.351000000009662,57167.817424467765,1286.0,1713
425,3064,210051545,210051249,2024,3850385,14.351000000009662,58916.69354136754,3441.0,5365
426,3434,210021235,210021235,2024,3850385,14.351000000009662,71564.68533418328,438.0,295
427,3049,210051245,210051245,2024,3850385,14.351000000009662,65477.01727029868,1686.0,709
428,3918,214021379,214021379,2024,3850385,14.351000000009662,64447.81676828163,583.0,245
429,3078,206071145,206071145,2024,3850385,14.351000000009662,100231.40246335928,2144.0,863
430,3084,209011203,209011203,2024,3850385,14.351000000009662,73334.18085112795,2297.0,2361
431,3058,206011495,206011105,2024,3850385,14.351000000009662,74232.12997753033,5621.0,3545
432,3909,205021084,205021084,2024,3850385,14.351000000009662,56521.23390569119,471.0,1028
433,3148,212051319,212051319,2024,3850385,14.351000000009662,71784.63774728123,3050.0,863
434,3225,203031052,203031052,2024,3850385,14.351000000009662,69729.49690072192,507.0,253
435,3938,214021384,214021384,2024,3850385,14.351000000009662,57167.817424467765,1286.0,215
436,3101,206011106,206011106,2024,3850385,14.351000000009662,75197.857961867,4730.0,1522
437,3029,213051588,213051366,2024,3850385,14.351000000009662,64881.08932667458,2090.0,6060
