,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,SA2_CODE
2284,"1/60 OAKES AVENUE, CLAYTON SOUTH",-37.93713,145.136159,3.0,2.0,2,$290_pw,Townhouse,February 2014,3169,2014,2,SOUTH,290,215011391
2285,"1/60 OAKES AVENUE, CLAYTON SOUTH",-37.93713,145.136159,3.0,2.0,2,$290_Weekly,Townhouse,February 2014,3169,2014,2,SOUTH,290,212011546
2286,"1/60 OAKES AVENUE, CLAYTON SOUTH",-37.93713,145.136159,3.0,2.0,2,$290,Townhouse,February 2014,3169,2014,2,SOUTH,290,204011054
2354,"3/509 CLAYTON ROAD, CLAYTON",-37.9139021,145.1218545,2.0,1.0,1,$305_pw,Unit/apmt,January 2014,3168,2014,1,CLAYTON,305,212021456
2355,"3/509 CLAYTON ROAD, CLAYTON",-37.9139021,145.1218545,2.0,1.0,1,$305_Weekly,Unit/apmt,January 2014,3168,2014,1,CLAYTON,305,204021065
2356,"3/509 CLAYTON ROAD, CLAYTON",-37.9139021,145.1218545,2.0,1.0,1,$305,Unit/apmt,January 2014,3168,2014,1,CLAYTON,305,202011022
2410,"5/42 EVELYN STREET, CLAYTON",-37.921181,145.131503,3.0,2.0,2,$385_p.w.,Townhouse,February 2014,3168,2014,2,CLAYTON,385,202021027
2411,"5/42 EVELYN STREET, CLAYTON",-37.921181,145.131503,3.0,2.0,2,$385_pw,Townhouse,February 2014,3168,2014,2,CLAYTON,385,212051568
2412,"5/42 EVELYN STREET, CLAYTON",-37.921181,145.131503,3.0,2.0,2,$385_Weekly,Townhouse,February 2014,3168,2014,2,CLAYTON,385,213051363
2413,"5/42 EVELYN STREET, CLAYTON",-37.921181,145.131503,3.0,2.0,2,$385,Townhouse,February 2014,3168,2014,2,CLAYTON,385,213031352
2433,"6/58 KANOOKA GROVE, CLAYTON",-37.92192,145.125966,2.0,1.0,1,$355_per_week,Townhouse,September 2014,3168,2014,9,CLAYTON,355,212051323
2517,"30/2 GREENFIELD DRIVE, CLAYTON",-37.923181,145.128623,2.0,1.0,1,$380,Unit,May 2014,3168,2014,5,CLAYTON,380,208031193
2530,"1/34 WELLINGTON ROAD, CLAYTON",-37.915779,145.133915,1.0,1.0,1,$245,Unit,June 2014,3168,2014,6,CLAYTON,245,205041494
2531,"1/34 WELLINGTON ROAD, CLAYTON",-37.915779,145.133915,1.0,1.0,1,$245,Unit,May 2014,3168,2014,5,CLAYTON,245,208031193
2580,"1266 CENTRE ROAD, CLAYTON",-37.9278306,145.1130031,2.0,1.0,2,$320_Weekly,House,February 2014,3168,2014,2,CLAYTON,320,208031193
2610,"APARTMENT 10/4 MANATUNGA STREET, CLAYTON",-37.916239,145.125979,2.0,1.0,1,$290_Weekly,Unit,April 2014,3168,2014,4,CLAYTON,290,214021384
2611,"APARTMENT 10/4 MANATUNGA STREET, CLAYTON",-37.916239,145.125979,2.0,1.0,1,$280_Weekly,Unit,March 2014,3168,2014,3,CLAYTON,280,213031349
2682,"33 ALICE STREET, CLAYTON",-37.917622,145.115287,4.0,2.0,1,$420_Weekly,House,January 2014,3168,2014,1,CLAYTON,420,213031352
