,year,month,address,latitude,longitude,postcode,sa2_2021,sa2_2016,residence_type,nbed,nbath,ncar,min_distance_to_cbd,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
14621,2020,10,"46 WATERFORD AVENUE, MARIBYRNONG",-37.772806,144.879131,3032,213031349,213031349,House,3.0,2.0,0,10.44251,1.30199,1.85036,1.7128599999999998,,,,1.82851,510.0
14622,2020,8,"46 WILLOW GROVE, KEW EAST",-37.788193,145.046764,3102,207011154,207011154,House,4.0,2.0,2,10.16531,0.91835,1.21809,2.23794,,,,0.67935,900.0
14623,2020,4,"46 WIMMERA CRESCENT, KEILOR DOWNS",-37.725576,144.812555,3038,213011332,213011332,House,3.0,1.0,2,22.37844,0.49072,1.1267,1.6661700000000002,,,,,400.0
14624,2020,2,"46 WITHERS STREET, ALBERT PARK",-37.844518,144.948862,3206,206051128,206051128,House,2.0,1.0,0,5.76635,0.43507,0.5791900000000001,0.17407,2.29748,,3.77122,,610.0
14625,2020,9,"46/110 BUNGOWER ROAD, MORNINGTON",-38.224019,145.06885,3931,214021591,214021380,House,3.0,2.0,2,69.53514,0.6929,0.24395,2.82993,0.16713,,,,420.0
14626,2020,6,"46/4 SEISMAN PLACE, PORT MELBOURNE",-37.842374,144.944868,3207,206051130,206051130,Apartment,1.0,1.0,1,5.686100000000001,0.3676399999999999,1.3687,,1.24555,,0.52674,,485.0
14627,2020,7,"46/4 SEISMAN PLACE, PORT MELBOURNE",-37.842374,144.944868,3207,206051130,206051130,Apartment,1.0,1.0,1,5.686100000000001,0.3676399999999999,1.3687,,1.24555,,0.52674,,485.0
14628,2020,1,"460 CORANGAMITE LAKE ROAD, COROROOKE",-38.294704,143.522212,3254,217031473,217031473,House,4.0,1.0,3,160.90328,19.12983,2.72893,,15.72202,21.44267,21.37051,,365.0
14629,2020,6,"462 B ROAD, JARRAHMOND",-37.70011001,148.40818001,3888,205021085,205021085,House,3.0,1.0,2,375.24022,5.22417,5.101319999999999,6.22328,6.76551,6.66695,5.01044,,380.0
14630,2020,8,"462 B ROAD, JARRAHMOND",-37.70011001,148.40818001,3888,205021085,205021085,House,3.0,1.0,2,375.24022,5.22417,5.101319999999999,6.22328,6.76551,6.66695,5.01044,,275.0
