bedrooms,bathrooms,carspaces,building_area,street_address,latitude,longitude,price
2.0,2.0,1.0,,17/102 Jolimont Road East Melbourne VIC 3002,-37.8181952,144.9789461,$750 per week
2.0,2.0,,,1314/58 Jeffcott Street West Melbourne VIC 3003,-37.811778,144.9517322,$670.00
2.0,2.0,1.0,,2606/105 Batman Street West Melbourne VIC 3003,-37.8114205,144.9497415,$560 per week
2.0,2.0,1.0,,1703/23 Batman Street West Melbourne VIC 3003,-37.8108743,144.9523646,$680 weekly
3.0,2.0,1.0,,4/30 Dudley Street West Melbourne VIC 3003,-37.8083643,144.9544295,$630.00
2.0,2.0,1.0,,503/9 Dryburgh Street West Melbourne VIC 3003,-37.806619,144.9424148,$500
2.0,2.0,1.0,,109/23 Batman Street West Melbourne VIC 3003,-37.8108743,144.9523646,$680/w &amp; Fully Furnished
2.0,2.0,1.0,,G1/9 Dryburgh Street West Melbourne VIC 3003,-37.806619,144.9424148,$600.00 Per Week
3.0,2.0,1.0,,228 Adderley Street West Melbourne VIC 3003,-37.80806,144.944867,$900 pw
4.0,3.0,1.0,,9/220 Roden Street West Melbourne VIC 3003,-37.8095385,144.945096,"$910 to $1,000"
2.0,2.0,1.0,,2303/105 Batman Street West Melbourne VIC 3003,-37.8114205,144.9497415,$600 per week
2.0,2.0,1.0,,1712/105 Batman Street West Melbourne VIC 3003,-37.8114205,144.9497415,$600 per week
2.0,2.0,1.0,,1008/105 Batman St West Melbourne VIC 3003,-37.8114205,144.9497415,$600 weekly
2.0,2.0,1.0,,1205/112 Adderley Street West Melbourne VIC 3003,-37.8107246,144.9478918,$600 weekly
3.0,3.0,2.0,,2/63 Rosslyn Street West Melbourne VIC 3003,-37.8079901,144.9527455,$850 per week
2.0,2.0,1.0,,503/5 Wominjeka Walk West Melbourne VIC 3003,-37.8101862,144.9491858,$620
2.0,2.0,1.0,,703/130 Dudley St West Melbourne VIC 3003,-37.809552,144.950835,610 per week
2.0,2.0,2.0,,303/250 St Kilda Road Melbourne VIC 3004,-37.8259165,144.9705248,$1395 Per Week
3.0,2.0,2.0,,22/1-29 Albert Road Melbourne VIC 3004,-37.833957,144.972793,$750.00
2.0,3.0,2.0,,113/350 St Kilda Road Melbourne VIC 3004,-37.831142,144.9708545,$1500 Per Week
3.0,2.0,1.0,104.0,503/8 Bowen Crescent Melbourne VIC 3004,-37.8354199,144.9725792,800
2.0,2.0,1.0,,301/77 Queens Road Melbourne VIC 3004,-37.85271110000001,144.9797274,$540 per week
2.0,2.0,2.0,,1201/55 Queens Road Melbourne VIC 3004,-37.8478901,144.9782817,"$1,100.00"
2.0,2.0,1.0,,1312/35 Albert Rd Melbourne VIC 3004,-37.834695,144.9721117,$590
2.0,2.0,1.0,,1208/14 Queens Road Melbourne VIC 3004,-37.8389211,144.9749946,$720 per week
2.0,2.0,1.0,,203/8 Bowen Crescent Melbourne VIC 3004,-37.8354199,144.9725792,$620
2.0,2.0,1.0,,1704/568 St Kilda Road Melbourne VIC 3004,-37.8471627,144.978741,$675 Per Week
3.0,2.0,2.0,,1209/14 Queens Road Melbourne VIC 3004,-37.8389211,144.9749946,$1600 per week
1.0,8.0,1.0,,Carspace &amp; Cage/610 St Kilda Road Melbourne VIC 3004,-37.8520422,144.9803303,$70 per week
3.0,2.0,2.0,,2105/368 St Kilda Road Melbourne VIC 3004,-37.8318086,144.9710272,THE DEAL: UNDER OFFER
2.0,2.0,1.0,,19/73 Queens Road Melbourne VIC 3004,-37.8519051,144.9795738,$580 per week
