MOUNT PROSPECT PRIMARY SCHOOL,2413080.7125788704,2457587.1244582366
TOOLLEEN PRIMARY SCHOOL,2472345.5052014776,2531471.720782159
LAVERTON GARDENS PRIMARY SCHOOL,2480553.2787876427,2405543.9752825536
CANADIAN LEAD PRIMARY SCHOOL,2400711.09726901,2435832.465537565
LAVERTON PARK PRIMARY SCHOOL,2479927.3893739847,2404510.296494782
Urquhart Park Primary School,2396754.4060938107,2436558.380170971
Newington Primary School,2396754.4060938107,2436558.380170971
NUNAWADING SOUTH PRIMARY SCHOOL,2515853.7258418542,2408034.361347773
Newcombe Park Primary School,2446974.7096682135,2370523.882590104
MEADOWBANK PRIMARY SCHOOL,2493740.7066372503,2423661.4676287007
PLENTY PARKLANDS PRIMARY SCHOOL,2506787.4541967427,2425678.697816562
HASLEM STREET (KYABRAM) PRIMARY SCHOOL 2902,2500137.380227744,2575436.3824870735
DAWES ROAD (KYABRAM) PRIMARY SCHOOL 4866,2500062.85832846,2575961.2049327176
TIMBARRA PRIMARY SCHOOL,2769372.452965766,2461256.0060757026
PLEASANT STREET PRIMARY SCHOOL (BALLARAT),2397384.3689501523,2437639.3149111588
MCKINNON PRIMARY SCHOOL,2504642.332770996,2399228.8171300897
STONNINGTON PRIMARY SCHOOL,2499633.9226419996,2404903.9309518263
WINDSOR PRIMARY SCHOOL,2499633.9226419996,2404903.9309518263
ALAMEIN PRIMARY SCHOOL,2507075.9483253807,2403775.5171573004
NUNAWADING PRIMARY SCHOOL,2514704.618422752,2410380.5151624344
WHITEHORSE PRIMARY SCHOOL,2514704.618422752,2410380.5151624344
MOUNT PLEASANT ROAD NUNAWADING PRIMARY SCHOOL,2515853.7258418542,2408034.361347773
NYORA PRIMARY SCHOOL,2559012.1532710395,2351490.3668053085
OAKLEIGH SOUTH PRIMARY SCHOOL,2508326.3212364223,2397654.3145999974
OBERON SOUTH PRIMARY SCHOOL,2442161.676808204,2368210.670300685
WINDSOR PRIMARY SCHOOL,2499620.724698203,2404862.86432816
WODONGA SOUTH PRIMARY SCHOOL,2670449.667348759,2593769.554915305
WODONGA WEST PRIMARY SCHOOL,2668932.3813162544,2595708.443791501
HAMLYN BANKS PRIMARY SCHOOL,2440990.4197663255,2375744.3271930236
