,STATION,STATUS,STOPID_MTR,STID_VLINE,PREMIUM,METRO,VLINE,INTERSTATE,STOP_ZONE,COMMENTS,geometry,postcode,suburb
31,Footscray,Active,20025,22240,Yes,Yes,Yes,No,"Reg, 1",Metro Interchange,POINT (144.90276094847812 -37.80137583321652),3011,Footscray
32,Frankston,Active,19855,,Yes,Yes,No,No,2,Metro Terminus,POINT (145.12601587208437 -38.14325085063577),3199,Frankston
33,Gardenvale,Active,19953,,No,Yes,No,No,1,,POINT (145.0042749205322 -37.89613484073803),3186,Brighton
34,Gardiner,Active,19912,,No,Yes,No,No,1,,POINT (145.05164291699285 -37.85308584372178),3146,Glen Iris
35,Garfield,Active,,20313,No,No,Yes,No,"Reg, 4, 5",,POINT (145.6746047818316 -38.09118288879901),3814,Garfield
36,Geelong,Active,,20314,No,No,Yes,No,"Reg, 4",,POINT (144.35491500774083 -38.14386579862806),3220,Geelong
37,Ginifer,Active,20003,22242,No,Yes,No,No,"Reg, 2",,POINT (144.81090696893386 -37.759478826718635),3021,St Albans
38,Gisborne,Active,,20315,No,No,Yes,No,"Reg, 3, 4",,POINT (144.59964503731408 -37.4591938106361),3438,New Gisborne
39,Glen Iris,Active,19835,,No,Yes,No,No,1,,POINT (145.0582289151693 -37.85929384421288),3146,Glen Iris
40,Glen Waverley,Active,19873,,Yes,Yes,No,No,2,Metro Terminus,POINT (145.16306489469574 -37.87977185156893),3150,Glen Waverley
41,Glenbervie,Active,20036,,No,Yes,No,No,1,,POINT (144.9209379511874 -37.74717383411886),3040,Essendon
42,Glenferrie,Active,19904,,Yes,Yes,No,No,1,,POINT (145.0364439230874 -37.82145284248177),3122,Hawthorn
43,Glenhuntly,Active,19942,,No,Yes,No,No,1,,POINT (145.04212891463715 -37.889770843295416),3163,Glen Huntly
44,Glenroy,Active,20032,,Yes,Yes,No,No,"1, 2",,POINT (144.91725195642277 -37.70462583360331),3046,Glenroy
45,Gowrie,Active,19961,,Yes,Yes,No,No,2,,POINT (144.95888494964294 -37.70073883642028),3060,Fawkner
46,Greensborough,Active,19985,,Yes,Yes,No,No,2,,POINT (145.10816992348848 -37.70396884668641),3088,Greensborough
47,Hallam,Active,19885,,No,Yes,No,No,2,,POINT (145.2697788608314 -38.017730859827836),3803,Hallam
48,Hampton,Active,19949,,No,Yes,No,No,2,,POINT (145.00122191650868 -37.937862840786885),3188,Hampton
49,Hartwell,Active,19850,,No,Yes,No,No,1,,POINT (145.0754229138815 -37.843750845299105),3124,Camberwell
50,Hastings,Active,19831,,No,Yes,No,No,2,,POINT (145.18598984349643 -38.30544085577949),3915,Hastings
51,Hawksburn,Active,19947,,No,Yes,No,No,1,,POINT (145.0021009265235 -37.84465484027034),3141,South Yarra
52,Hawthorn,Active,19905,,No,Yes,No,No,1,,POINT (145.02309392536458 -37.82182584156801),3122,Hawthorn
53,Heathcote Junction,Active,,20316,No,No,Yes,No,2,,POINT (145.02795597331672 -37.371540839093484),3758,Heathcote Junction
54,Heatherdale,Active,19901,,No,Yes,No,No,2,,POINT (145.21393489257835 -37.81881385471482),3134,Ringwood
55,Heathmont,Active,19871,,No,Yes,No,No,2,,POINT (145.244311886314 -37.827836856880204),3135,Heathmont
56,Heidelberg,Active,19935,,Yes,Yes,No,No,"1, 2",,POINT (145.0608661678735 -37.75708987676011),3084,Heidelberg
57,Heyington,Active,19909,,No,Yes,No,No,1,,POINT (145.02263992404443 -37.83465684161638),3142,Toorak
58,Highett,Active,19872,,No,Yes,No,No,2,,POINT (145.04163990834098 -37.94808284362254),3190,Highett
59,Holmesglen,Active,19839,,No,Yes,No,No,"1, 2",,POINT (145.0903409079237 -37.874474846516506),3145,Malvern East
60,Hoppers Crossing,Active,19922,,No,Yes,No,No,2,,POINT (144.7010529747581 -37.88325682006941),3030,Werribee
61,Horsham,Active,,20618,No,No,No,Yes,,Interstate (Overland),POINT (142.20000551856302 -36.70744265745108),3400,Horsham
62,Hughesdale,Active,19918,,No,Yes,No,No,"1, 2",,POINT (145.0764944661595 -37.894303695686),3163,Murrumbeena
63,Huntingdale,Active,19916,,No,Yes,No,No,"1, 2",,POINT (145.1024039018195 -37.91097984757367),3166,Oakleigh
64,Hurstbridge,Active,19990,,No,Yes,No,No,2,Metro Terminus,POINT (145.19208691606843 -37.63943985208396),3099,Hurstbridge
65,Ivanhoe,Active,19933,,Yes,Yes,No,No,"1, 2",,POINT (145.04538392726778 -37.76889984276958),3079,Ivanhoe
66,Jacana,Active,20031,,No,Yes,No,No,2,,POINT (144.91586195768934 -37.69511983344947),3046,Glenroy
