,sec_school,longitude,latitude,postcode,suburb
262,ALAMANDA K-9 COLLEGE,144.740559981209,-37.9080399988839,3030,POINT COOK
263,BENALLA COLLEGE - BENALLA COLLEGE CAMP,145.824789984854,-36.4446500051427,3725,STEWARTON
264,BENALLA COLLEGE - BENALLA COLLEGE CAMP,145.824789984854,-36.4446500051427,3725,STEWARTON
265,NATHALIA SECONDARY COLLEGE,145.208439983795,-36.0599000531713,3638,NATHALIA
266,ACADEMY OF MARY IMMACULATE,144.974409984788,-37.8037099961212,3065,FITZROY
267,ALBURY WODONGA COMMUNITY COLLEGE,146.889410111695,-36.1180099457832,3690,WODONGA
268,AQUINAS COLLEGE,145.234939988467,-37.8230599971996,3134,RINGWOOD
269,AVE MARIA COLLEGE,144.897960005149,-37.7566200016122,3040,ABERFELDIE
270,STAUGHTON COLLEGE,144.568689987378,-37.7083699991187,3338,MELTON SOUTH
271,Turning Point Campus,143.382959993836,-38.681949986797,3238,LAVERS HILL
272,SWINBURNE COLLEGE OF TECHNOLOGY,145.037919995733,-37.8223499885889,3122,HAWTHORN
273,SWINBURNE SENIOR SECONDARY COLLEGE,145.040819990144,-37.8231399877929,3122,HAWTHORN
274,SWINBURNE SECONDARY COLLEGE,145.040819990144,-37.8231399877929,3122,HAWTHORN
275,STAWELL COLLEGE WONGA CAMPUS,142.789869993381,-37.0626299699532,3380,STAWELL
276,MIRBOO NORTH HIGH SCHOOL,146.148819962711,-38.4001799949642,3871,MIRBOO NORTH
277,CASTERTON SECONDARY COLLEGE,141.387490062442,-37.588800018998,3311,CASTERTON
278,CASTERTON HIGH SCHOOL,141.387490062442,-37.588800018998,3311,CASTERTON
279,CHAFFEY SECONDARY COLLEGE,142.147990017832,-34.1957300323617,3500,MILDURA
280,TALLANGATTA SECONDARY COLLEGE,147.172670109096,-36.2204398041837,3700,TALLANGATTA
281,BROADMEADOWS TECHNICAL SCHOOL,144.928759987368,-37.6681799981615,3047,DALLAS
282,WODONGA SENIOR SECONDARY COLLEGE,146.881050030162,-36.1256099631965,3690,WODONGA
283,WODONGA TECHNICAL SCHOOL,146.890700015054,-36.1303999399625,3690,WODONGA
284,WODONGA WEST SECONDARY COLLEGE,146.879590094319,-36.1176299620332,3690,WODONGA
285,CHARLTON SECONDARY COLLEGE,143.359029984735,-36.2695699934093,3525,CHARLTON
286,CHARLTON HIGH SCHOOL,143.359029984735,-36.2695699934093,3525,CHARLTON
287,MYRTLEFORD SECONDARY COLLEGE,146.726259978304,-36.5487399872152,3737,MYRTLEFORD
288,MYRTLEFORD HIGH SCHOOL,146.726259978304,-36.5487399872152,3737,MYRTLEFORD
289,PORTLAND TECHNICAL SCHOOL,141.594820029203,-38.3588199978249,3305,PORTLAND
290,PAKENHAM SECONDARY COLLEGE,145.470999981931,-38.0689999982357,3810,PAKENHAM
291,PARKWOOD HIGH SCHOOL,145.238759992114,-37.7840099982224,3134,RINGWOOD NORTH
292,SEYMOUR COLLEGE - LOCO STREET CAMPUS,145.141529982809,-37.0298500067572,3660,SEYMOUR
293,COLAC HIGH SCHOOL,143.566259967801,-38.3359599891257,3250,COLAC
294,COLAC TECHNICAL SCHOOL,143.592089996874,-38.3490099908239,3250,COLAC
295,COBDEN TECHNICAL SCHOOL,143.06360996375,-38.3240399890935,3266,COBDEN
296,ROSANNA EAST HIGH SCHOOL,145.087039993,-37.7418999984668,3084,VIEWBANK
297,ROSEBUD SECONDARY COLLEGE,144.887449986453,-38.3676199956584,3939,ROSEBUD
298,HAILEYBURY BERWICK COLLEGE,145.364359979517,-38.0427499965852,3806,BERWICK
299,WILLIAM RUTHVEN SECONDARY COLLEGE - RADFORD ROAD CAMPUS,144.981389986748,-37.7100000040168,3073,RESERVOIR
300,ALTONA COLLEGE,144.816949987888,-37.861649993761,3018,ALTONA
301,TWO RIVERS COLLEGE A KOORIE PATHWAYS SCHOOL,142.138900036034,-34.2225000280246,3500,MILDURA
302,MERBEIN P-10 COLLEGE - PASCHENDALE AVENUE CAMPUS,142.020279997482,-34.158040011925,3505,MERBEIN
303,VICTORIA UNIVERSITY SECONDARY COLLEGE - BRIMBANK CAMPUS,144.785629976397,-37.7401000048881,3021,ST ALBANS
304,EDENHOPE COLLEGE,141.301260043862,-37.0334600100057,3318,EDENHOPE
305,RINGWOOD HIGH SCHOOL,145.239149981449,-37.816610000452,3134,RINGWOOD
306,RICHMOND TECHNICAL COLLEGE,145.00041998782,-37.8170699959844,3121,RICHMOND
307,SUNBURY POST PRIMARY SCHOOL,144.704489964082,-37.5840100004453,3429,SUNBURY
308,SUNBURY SECONDARY COLLEGE,144.728669954949,-37.5742799980128,3429,SUNBURY
309,SUNBURY HIGH SCHOOL,144.728669954949,-37.5742799980128,3429,SUNBURY
310,SUNBURY COLLEGE,144.728669954949,-37.5742799980128,3429,SUNBURY
311,Sunshine College - Senior Campus,144.829279962415,-37.7904499991558,3020,SUNSHINE
312,TEMPLESTOWE TECHNICAL SCHOOL,145.113760012286,-37.7792899975403,3108,DONCASTER
313,YARRAM SECONDARY COLLEGE,146.685459991965,-38.5665800158648,3971,YARRAM
314,YARRAM HIGH SCHOOL,146.685459991965,-38.5665800158648,3971,YARRAM
315,OUYEN SECONDARY COLLEGE,142.325980006802,-35.0628999821751,3490,OUYEN
316,BEAUFORT SECONDARY COLLEGE,143.382490000949,-37.4388399931979,3373,BEAUFORT
317,BEAUFORT HIGH SCHOOL,143.382490000949,-37.4388399931979,3373,BEAUFORT
318,SUNSHINE TECHNICAL SCHOOL,144.82875996248,-37.790679999122,3020,SUNSHINE
319,Sunshine College - West Campus,144.813889965808,-37.7930400001289,3020,SUNSHINE WEST
320,LILYDALE HEIGHTS SECONDARY COLLEGE,145.341409978579,-37.7458199981381,3140,LILYDALE
321,LILYDALE TECHNICAL SCHOOL,145.341409978579,-37.7458199981381,3140,LILYDALE
322,LILYDALE HEIGHTS COLLEGE,145.341409978579,-37.7458199981381,3140,LILYDALE
323,LILYDALE HIGH SCHOOL,145.343919976495,-37.7606999984062,3140,LILYDALE
324,YEA HIGH SCHOOL,145.408540012619,-37.2150100015112,3717,YEA
325,MURRUMBEENA HIGH SCHOOL,145.061809959622,-37.9042899937379,3163,MURRUMBEENA
326,WONTHAGGI SECONDARY COLLEGE DUDLEY CAMPUS,145.592089987171,-38.6076300001024,3995,WONTHAGGI
327,WONTHAGGI HIGH SCHOOL,145.592089987171,-38.6076300001024,3995,WONTHAGGI
328,HAWKESDALE SECONDARY COLLEGE,142.318199972333,-38.106509999796,3287,HAWKESDALE
329,IRYMPLE SECONDARY COLLEGE,142.164700066266,-34.2323300255489,3498,IRYMPLE
330,BELLARINE SECONDARY COLLEGE OCEAN GROVE CAMPUS,144.533479972973,-38.2587400011585,3226,OCEAN GROVE
331,HAMILTON COLLEGE,142.023760055899,-37.7367900118225,3300,HAMILTON
332,ARARAT SECONDARY COLLEGE,142.921960019935,-37.2859999662167,3377,ARARAT
333,ARARAT SECONDARY COLLEGE SENIOR SCHOOL CAMPUS,142.922370033268,-37.2923499632806,3377,ARARAT
334,ARARAT TECHNICAL SCHOOL,142.922370033268,-37.2923499632806,3377,ARARAT
335,EUMEMMERRING SECONDARY COLLEGE,145.260979973171,-38.0015099981154,3803,HALLAM
336,GREVILLEA PARK PRIMARY SCHOOL,143.820560019509,-37.52749999823,3355,WENDOUREE
337,BAIMBRIDGE COLLEGE,142.014630050814,-37.7333100092882,3300,HAMILTON
338,HAMILTON TECHNICAL SCHOOL,142.014630050814,-37.7333100092882,3300,HAMILTON
339,BALLARAT COLLEGE,143.832919980983,-37.5612400012259,3350,NEWINGTON
340,BALLARAT EAST HIGH SCHOOL,143.892650003873,-37.5590100010239,3350,BALLARAT EAST
341,BALLARAT GIRLS HIGH SCHOOL,143.864869982895,-37.5667899962974,3350,GOLDEN POINT
342,BALMORAL HIGH SCHOOL,141.831529986873,-37.2420700070731,3407,BALMORAL
343,WANGARATTA HIGH SCHOOL,146.307719972999,-36.3448999866557,3677,WANGARATTA
344,WANGARATTA SECONDARY COLLEGE,146.320139973884,-36.3545699856351,3677,WANGARATTA
345,WANGARATTA TECHNICAL SCHOOL,146.320139973884,-36.3545699856351,3677,WANGARATTA
346,OVENS COLLEGE,146.320139973884,-36.3545699856351,3677,WANGARATTA
347,WANTIRNA HIGH SCHOOL,145.229969983515,-37.8575999970687,3152,WANTIRNA
348,WARRAGUL SECONDARY COLLEGE,145.922369969003,-38.1651299990404,3820,WARRAGUL
349,WARRAGUL TECHNICAL SCHOOL,145.922369969003,-38.1651299990404,3820,WARRAGUL
350,WARRANDYTE HIGH SCHOOL,145.184219977488,-37.748269993217,3113,WARRANDYTE
351,WATERDALE HIGH SCHOOL,145.050419985288,-37.7331800008938,3081,HEIDELBERG WEST
352,LAKEVIEW SENIOR COLLEGE,144.740279984229,-37.7310200027694,3023,CAROLINE SPRINGS
353,WESLEY COLLEGE - ST KILDA ROAD JUNIOR CAMPUS,144.982679971903,-37.8538099959975,3004,MELBOURNE
354,ISLAMIC COLLEGE OF MELBOURNE,144.660379982951,-37.8542199961572,3029,TARNEIT
355,MOUNT ELIZA SECONDARY COLLEGE,145.093539972654,-38.1896999976818,3930,MOUNT ELIZA
356,MOUNT ELIZA HIGH SCHOOL,145.093539972654,-38.1896999976818,3930,MOUNT ELIZA
357,BAXTER TECHNICAL SCHOOL,145.182369958702,-38.2734599963328,3913,TYABB
358,MOUNT EVELYN TECHNICAL SCHOOL,145.384189967956,-37.7748799973129,3796,MOUNT EVELYN
359,YARRA HILLS SECONDARY COLLEGE - MOUNT EVELYN CAMPUS,145.384189967956,-37.7748799973129,3796,MOUNT EVELYN
360,MOUNT BEAUTY SECONDARY COLLEGE,147.167279986359,-36.7403099781436,3699,MOUNT BEAUTY
361,MOUNT BEAUTY HIGH SCHOOL,147.167279986359,-36.7403099781436,3699,MOUNT BEAUTY
362,ELTHAM COLLEGE PREPARATORY CENTRE,145.190909987628,-37.7000299983802,3095,RESEARCH
363,CAMPERDOWN COLLEGE WILSON STREET CAMPUS SECONDARY,143.145419968406,-38.2395699915509,3260,CAMPERDOWN
364,CAMPERDOWN HIGH SCHOOL,143.145419968406,-38.2395699915509,3260,CAMPERDOWN
365,MELTON HIGH SCHOOL,144.568219966272,-37.6817499949222,3337,MELTON WEST
366,MELBOURNE COLLEGE OF HAIRDRESSING,144.95291998755,-37.8126299967076,3003,WEST MELBOURNE
367,MELBOURNE COLLEGE OF PRINTING,144.947639966551,-37.802629996285,3051,NORTH MELBOURNE
368,PASCOE VALE GIRLS SECONDARY COLLEGE,144.935499991868,-37.7175600019283,3044,PASCOE VALE
369,MELBOURNE HIGH SCHOOL,144.995309960556,-37.8368299967569,3141,SOUTH YARRA
370,KEYSBOROUGH TECHNICAL SCHOOL,145.160559983869,-37.9819299960281,3173,KEYSBOROUGH
371,KORUMBURRA SECONDARY COLLEGE,145.818760004901,-38.3056799994395,3988,POOWONG EAST
372,KORUMBURRA HIGH SCHOOL,145.818760004901,-38.3056799994395,3988,POOWONG EAST
373,KURUNJANG POST PRIMARY SCHOOL,144.585959983135,-37.6729099950517,3337,KURUNJANG
374,KYABRAM SECONDARY COLLEGE,145.054589980869,-36.317350013223,3620,KYABRAM
375,KYNETON SECONDARY COLLEGE,144.458169984226,-37.2513300009215,3444,KYNETON
376,KYNETON TECHNICAL SCHOOL,144.458169984226,-37.2513300009215,3444,KYNETON
377,KYNETON HIGH SCHOOL,144.458169984226,-37.2513300009215,3444,KYNETON
378,LA TROBE HIGH SCHOOL,145.04708998856,-37.7267899996253,3083,BUNDOORA
379,LAWRENCE SECONDARY COLLEGE,145.139869997026,-37.877069987949,3149,MOUNT WAVERLEY
380,SYNDAL TECHNICAL SCHOOL,145.139869997026,-37.877069987949,3149,MOUNT WAVERLEY
381,LEONGATHA SECONDARY COLLEGE,145.961239986599,-38.4786899977839,3953,LEONGATHA
382,LEONGATHA TECHNICAL SCHOOL,145.953479987902,-38.4792899972255,3953,LEONGATHA
383,BAIRNSDALE HIGH SCHOOL,147.605699998906,-37.8253999893454,3875,BAIRNSDALE
384,BAIRNSDALE SECONDARY COLLEGE,147.60499999861,-37.828709988311,3875,BAIRNSDALE
385,BAIRNSDALE TECHNICAL SCHOOL,147.628479995152,-37.8242899921414,3875,BAIRNSDALE
386,BURWOOD HIGH SCHOOL,145.113200005772,-37.8487399879327,3125,BURWOOD
387,BURWOOD TECHNICAL SCHOOL,145.13263998867,-37.8462399842587,3125,BURWOOD
388,BACCHUS MARSH COLLEGE DARLEY CAMPUS,144.422919965374,-37.6537399960968,3340,DARLEY
389,BACCHUS MARSH SECONDARY COLLEGE MADDINGLEY CAMPUS,144.432639988259,-37.6865099959429,3340,MADDINGLEY
390,BACCHUS MARSH SECONDARY COLLEGE,144.432639988259,-37.6865099959429,3340,MADDINGLEY
391,SOUTH BARWON SECONDARY COLLEGE,144.324309975817,-38.1848500068649,3216,HIGHTON
392,FOSTER CONSOLIDATED SCHOOL,146.197409987218,-38.6517399960694,3960,FOSTER
393,FOSTER SECONDARY COLLEGE,146.197409987218,-38.6517399960694,3960,FOSTER
394,SOMERTON SECONDARY COLLEGE,144.928759987368,-37.6681799981615,3047,DALLAS
395,SPRINGVALE HIGH SCHOOL,145.1559799873,-37.9490099975078,3171,SPRINGVALE
396,WATSONIA HIGH SCHOOL,145.09625997042,-37.7142900009301,3088,GREENSBOROUGH
397,WATSONIA TECHNICAL SCHOOL,145.091809975704,-37.7095700005942,3088,GREENSBOROUGH
398,WATTLE PARK SECONDARY COLLEGE,145.102640006277,-37.8426299861667,3125,BURWOOD
399,UPPER YARRA SECONDARY COLLEGE,145.623929977574,-37.7921000043367,3797,YARRA JUNCTION
400,UPWEY HIGH SCHOOL,145.335479967997,-37.9043599967087,3158,UPWEY
401,VERMONT SECONDARY COLLEGE,145.199699990259,-37.8441199938849,3133,VERMONT
402,VERMONT HIGH SCHOOL,145.199699990259,-37.8441199938849,3133,VERMONT
403,BACCHUS MARSH SECONDARY COLLEGE DARLEY CAMPUS,144.422919965374,-37.6537399960968,3340,DARLEY
404,VICTORIAN COLLEGE OF THE ARTS SCHOOL,144.964769972798,-37.828229995614,3006,SOUTHBANK
405,VICTORIAN RAILWAYS TECHNICAL COLLEGE,144.880139989926,-37.8520699999912,3016,WILLIAMSTOWN NORTH
406,HAWTHORN SECONDARY COLLEGE,145.045069992578,-37.8398799911886,3123,HAWTHORN EAST
407,JOHN GARDINER HIGH SCHOOL,145.045069992578,-37.8398799911886,3123,HAWTHORN EAST
408,HEALESVILLE HIGH SCHOOL,145.530809938305,-37.6435899978117,3777,HEALESVILLE
409,BALLAM PARK SECONDARY COLLEGE,145.161529965639,-38.1451299951017,3199,FRANKSTON
410,BANYULE HIGH SCHOOL,145.080699999018,-37.7517899980917,3084,HEIDELBERG
411,BATMAN AUTOMOTIVE COLLEGE,144.95986999432,-37.7298500036687,3058,COBURG NORTH
412,BAYSIDE SECONDARY COLLEGE ALTONA NORTH CAMPUS,144.846669980383,-37.8369300016234,3025,ALTONA NORTH
413,BAYSIDE SECONDARY COLLEGE PAISLEY CAMPUS,144.863479973755,-37.8434599998054,3015,NEWPORT
414,PAISLEY SECONDARY COLLEGE,144.863479973755,-37.8434599998054,3015,NEWPORT
415,BAYSWATER SECONDARY COLLEGE,145.261999979008,-37.8390299971799,3153,BAYSWATER
416,BAYSWATER HIGH SCHOOL,145.261999979008,-37.8390299971799,3153,BAYSWATER
417,BELL PARK SECONDARY COLLEGE,144.334870007302,-38.1056799960749,3215,BELL PARK
418,QUEENSCLIFF HIGH SCHOOL,144.533479972973,-38.2587400011585,3226,OCEAN GROVE
419,BELLARINE SECONDARY COLLEGE QUEENSCLIFF CAMPUS,144.646809994874,-38.2684599947929,3225,QUEENSCLIFF
420,BENTLEIGH HIGH SCHOOL,145.061259994101,-37.9281799888479,3165,BENTLEIGH EAST
421,CHURCHILL NORTH SECONDARY COLLEGE,146.425699967844,-38.3092900008314,3842,CHURCHILL
422,CLAYTON TECHNICAL SCHOOL,145.127369952772,-37.9173499963354,3168,CLAYTON
423,COBRAM HIGH SCHOOL,145.654119947324,-35.9136100435027,3644,COBRAM
424,COBURG TECHNICAL SCHOOL,144.952089995246,-37.7337400041614,3058,COBURG
425,PARKDALE SECONDARY COLLEGE,145.093499982655,-37.9902999934507,3195,MORDIALLOC
426,PARKDALE HIGH SCHOOL,145.093499982655,-37.9902999934507,3195,MORDIALLOC
427,PARKWOOD SECONDARY COLLEGE,145.238759992114,-37.7840099982224,3134,RINGWOOD NORTH
428,SEYMOUR PRIMARY SCHOOL,145.138479971278,-37.0209600074903,3660,SEYMOUR
429,SEYMOUR COLLEGE - GRANT STREET CAMPUS,145.138479971278,-37.0209600074903,3660,SEYMOUR
430,SEYMOUR SPECIAL SCHOOL,145.130699976618,-37.0206800119516,3660,SEYMOUR
431,SEYMOUR COLLEGE - TALLAROOK STREET CAMPUS,145.130699976618,-37.0206800119516,3660,SEYMOUR
432,SEYMOUR TECHNICAL HIGH SCHOOL,145.141529982809,-37.0298500067572,3660,SEYMOUR
433,CHELTENHAM HIGH SCHOOL,145.06847999807,-37.9534599925007,3192,CHELTENHAM
434,PEMBROKE HIGH SCHOOL,145.324589975498,-37.7998500002992,3137,KILSYTH
435,YARRA HILLS SECONDARY COLLEGE - CAMBRIDGE CAMPUS,145.324589975498,-37.7998500002992,3137,KILSYTH
436,SHEPPARTON HIGH SCHOOL,145.415399976895,-36.3720499906161,3630,SHEPPARTON
437,SHEPPARTON SOUTH SECONDARY COLLEGE,145.4081499792,-36.3989399862809,3630,SHEPPARTON
438,SHEPPARTON SOUTH TECHNICAL SCHOOL,145.4081499792,-36.3989399862809,3630,SHEPPARTON
439,MCGUIRE COLLEGE,145.4081499792,-36.3989399862809,3630,SHEPPARTON
440,SHEPPARTON TECHNICAL SCHOOL,145.408199980579,-36.3673499920809,3630,SHEPPARTON
441,KINGS PARK HIGH SCHOOL,144.769869978988,-37.7320700027731,3021,KINGS PARK
442,COPPERFIELD COLLEGE KINGS PARK JUNIOR CAMPUS,144.769869978988,-37.7320700027731,3021,KINGS PARK
443,BRUNSWICK GIRLS HIGH SCHOOL,144.965419980053,-37.7695700032947,3056,BRUNSWICK
444,BRUNSWICK TECHNICAL SCHOOL,144.955419975997,-37.7676300015993,3056,BRUNSWICK
445,CALVARY BIBLE COLLEGE,145.284869986832,-37.7595699982783,3115,WONGA PARK
446,DROMANA SECONDARY COLLEGE,145.013579992855,-38.342639998123,3936,DROMANA
447,DROMANA TECHNICAL SCHOOL,145.013579992855,-38.342639998123,3936,DROMANA
448,DROUIN SECONDARY COLLEGE,145.85097997886,-38.1446599977639,3818,DROUIN
449,UPFIELD SECONDARY COLLEGE,144.930329988172,-37.6304100000335,3064,ROXBURGH PARK
450,ROXBURGH COLLEGE,144.930329988172,-37.6304100000335,3064,ROXBURGH PARK
451,Wanganui Park High School,145.391899989357,-36.3570299938721,3630,SHEPPARTON
452,WAVERLEY SECONDARY COLLEGE,145.106259994169,-37.8834599906693,3148,CHADSTONE
453,WAVERLEY HIGH SCHOOL,145.106259994169,-37.8834599906693,3148,CHADSTONE
454,WELLINGTON SECONDARY COLLEGE,145.169379981568,-37.9344699973448,3170,MULGRAVE
455,MOOMBA PARK SECONDARY COLLEGE,144.963760007287,-37.6962400027257,3060,FAWKNER
456,FAWKNER TECHNICAL SCHOOL,144.963760007287,-37.6962400027257,3060,FAWKNER
457,MOORABBIN CITY SECONDARY COLLEGE,145.059799995445,-37.9273599887424,3165,BENTLEIGH EAST
458,MOORABBIN TECHNICAL COLLEGE,145.050699980876,-37.9378999921821,3189,MOORABBIN
459,MORDIALLOC COLLEGE,145.092679992385,-38.0122399935298,3195,ASPENDALE
460,MORELAND HIGH SCHOOL,144.965980002885,-37.7517900012226,3058,COBURG
461,MORNINGTON HIGH SCHOOL,145.040559977473,-38.230539996288,3931,MORNINGTON
462,MORNINGTON SECONDARY COLLEGE,145.057759975969,-38.2167099973851,3931,MORNINGTON
463,MORWELL HIGH SCHOOL,146.405929989611,-38.2314499988812,3840,MORWELL
464,KURNAI COLLEGE MORWELL CAMPUS,146.405929989611,-38.2314499988812,3840,MORWELL
465,MORDIALLOC CHELSEA SECONDARY COLLEGE,145.092679992385,-38.0122399935298,3195,ASPENDALE
466,BALWYN HIGH SCHOOL,145.076769980666,-37.7978599921074,3104,BALWYN NORTH
467,CANAAN COLLEGE,146.092639950044,-36.3720699970564,3726,THOONA
468,CASTLEMAINE TECHNICAL COLLEGE,144.220979981831,-37.0634599991444,3450,CASTLEMAINE
469,CAULFIELD NORTH PRIMARY SCHOOL,145.021809986168,-37.871509992788,3161,CAULFIELD NORTH
470,CAULFIELD NORTH CENTRAL SCHOOL,145.021809986168,-37.871509992788,3161,CAULFIELD NORTH
471,CAULFIELD JUNIOR COLLEGE CAULFIELD NORTH CAMPUS,145.021809986168,-37.871509992788,3161,CAULFIELD NORTH
472,CHADSTONE HIGH SCHOOL,145.081809995818,-37.8798499919626,3145,MALVERN EAST
473,CHANDLER SECONDARY COLLEGE,145.182779979714,-37.9844299945814,3174,NOBLE PARK
474,KEYSBOROUGH SECONDARY COLLEGE,145.182779979714,-37.9844299945814,3174,NOBLE PARK
475,OAKWOOD SCHOOL - CAULFIELD PARK COMMUNITY CAMPUS,145.034169965748,-37.8739799906514,3161,CAULFIELD NORTH
476,CAULFIELD PRIMARY SCHOOL,145.020279972629,-37.8880399917853,3162,CAULFIELD SOUTH
477,CAULFIELD JUNIOR COLLEGE CAULFIELD CAMPUS,145.020279972629,-37.8880399917853,3162,CAULFIELD SOUTH
478,CAULFIELD SECONDARY COLLEGE,145.037779991887,-37.8852599919691,3145,CAULFIELD EAST
479,CAULFIELD HIGH SCHOOL,145.037779991887,-37.8852599919691,3145,CAULFIELD EAST
480,CAULFIELD TECHNICAL SCHOOL,145.045419973332,-37.8781799914499,3145,CAULFIELD EAST
481,ELTHAM HIGH SCHOOL,145.14172998045,-37.7244399991299,3095,ELTHAM
482,ESSENDON HIGH SCHOOL,144.902370011636,-37.7542900008981,3040,ESSENDON
483,EUMEMMERRING SECONDARY COLLEGE FOUNTAIN GATE CAMPUS,145.294869991791,-38.0056799965015,3805,NARRE WARREN
484,EUMEMMERRING SECONDARY COLLEGE,145.294869991791,-38.0056799965015,3805,NARRE WARREN
485,EUMEMMERRING SECONDARY COLLEGE HALLAM CAMPUS,145.260979973171,-38.0015099981154,3803,HALLAM
486,EUROA SECONDARY COLLEGE,145.564800004412,-36.7582000026198,3666,EUROA
487,EUROA HIGH SCHOOL,145.564800004412,-36.7582000026198,3666,EUROA
488,CLEELAND HIGH SCHOOL,145.214309973996,-37.9773499967234,3175,DANDENONG
489,FAWKNER SECONDARY COLLEGE,144.971859991186,-37.7027100033197,3060,FAWKNER
490,FAWKNER HIGH SCHOOL,144.971859991186,-37.7027100033197,3060,FAWKNER
491,JOHN FAWKNER SECONDARY COLLEGE,144.971859991186,-37.7027100033197,3060,FAWKNER
492,FERNTREE GULLY HIGH SCHOOL,145.285139983438,-37.880129998046,3156,FERNTREE GULLY
493,PATTERSON RIVER SECONDARY COLLEGE SEAFORD CAMPUS,145.136259976901,-38.0834599969752,3198,SEAFORD
494,SEAFORD-CARRUM SECONDARY COLLEGE,145.136259976901,-38.0834599969752,3198,SEAFORD
495,SEYMOUR EAST PRIMARY SCHOOL,145.155139971577,-37.0292900056938,3660,SEYMOUR
496,ELWOOD HIGH SCHOOL,144.985139985428,-37.881789991339,3184,ELWOOD
497,TRARALGON HEIGHTS SECONDARY COLLEGE,146.531259997563,-38.1909599999686,3844,TRARALGON
498,TRARALGON TECHNICAL SCHOOL,146.531259997563,-38.1909599999686,3844,TRARALGON
499,TRARALGON SECONDARY COLLEGE EAST CAMPUS,146.55097997862,-38.2034599995212,3844,TRARALGON
500,TRARALGON SECONDARY COLLEGE WEST CAMPUS,146.520419990455,-38.1909600011584,3844,TRARALGON
501,BUCKLEY PARK COLLEGE,144.897759991209,-37.7471200015396,3040,ESSENDON
502,DEER PARK SECONDARY COLLEGE,144.766509980681,-37.7590500027135,3023,DEER PARK
503,DEER PARK HIGH SCHOOL,144.766509980681,-37.7590500027135,3023,DEER PARK
504,VICTORIA UNIVERSITY SECONDARY COLLEGE - DEER PARK CAMPUS,144.766509980681,-37.7590500027135,3023,DEER PARK
505,DOOKIE AGRICULTURAL COLLEGE,145.702369950566,-36.3840099949903,3647,DOOKIE COLLEGE
506,DOOKIE AGRICULTURE COLLEGE HALL,145.705419951187,-36.3828999952007,3647,DOOKIE COLLEGE
507,DOVETON TECHNICAL SCHOOL,145.229029987396,-37.9956799978585,3177,DOVETON
508,BOX FOREST SECONDARY COLLEGE HADFIELD CAMPUS,144.946810007025,-37.7165100006938,3044,PASCOE VALE
509,HADFIELD SECONDARY COLLEGE,144.946810007025,-37.7165100006938,3044,PASCOE VALE
510,DONCASTER HIGH SCHOOL,145.138049987497,-37.7845799962496,3108,DONCASTER
511,MERRILANDS SECONDARY COLLEGE,145.004309998127,-37.6976300015092,3073,RESERVOIR
512,MERRILANDS HIGH SCHOOL,145.004309998127,-37.6976300015092,3073,RESERVOIR
513,MIRBOO NORTH SECONDARY COLLEGE,146.148819962711,-38.4001799949642,3871,MIRBOO NORTH
514,MITCHAM HIGH SCHOOL,145.191529986695,-37.8076299940922,3132,MITCHAM
515,MITCHAM TECHNICAL SCHOOL,145.18236999852,-37.8145699925009,3131,NUNAWADING
516,MONASH HIGH SCHOOL,145.145979959357,-37.9098499965742,3168,NOTTING HILL
517,MONBULK SECONDARY COLLEGE,145.427809979319,-37.8831699980465,3793,MONBULK
518,MONTEREY HIGH SCHOOL,145.14847998684,-38.1278999970933,3200,FRANKSTON NORTH
519,MONTEREY TECHNICAL SCHOOL,145.147369983342,-38.1251299969995,3200,FRANKSTON NORTH
520,MONTMORENCY HIGH SCHOOL,145.113479984534,-37.7134600011118,3094,MONTMORENCY
521,MOOROOLBARK HEIGHTS SECONDARY COLLEGE,145.314229980037,-37.7750799984219,3138,MOOROOLBARK
522,MOOROOLBARK COLLEGE,145.314229980037,-37.7750799984219,3138,MOOROOLBARK
523,MOOROOLBARK TECHNICAL SCHOOL,145.317779978725,-37.7813799987089,3138,MOOROOLBARK
524,NORTHLAND SECONDARY COLLEGE,145.025369976873,-37.7400700012169,3072,PRESTON
525,PRESTON EAST TECHNICAL SCHOOL,145.025369976873,-37.7400700012169,3072,PRESTON
526,NORTHERN COLLEGE OF THE ARTS AND TECHNOLOGY,145.025369976873,-37.7400700012169,3072,PRESTON
527,PRESTON GIRLS SECONDARY COLLEGE,145.006809984899,-37.741790001955,3072,PRESTON
528,PRESTON GIRLS HIGH SCHOOL,145.006809984899,-37.741790001955,3072,PRESTON
529,PRESTON INSTITUTE OF TECHNOLOGY,145.068759990956,-37.679570003821,3083,BUNDOORA
530,PRESTON SECONDARY COLLEGE,144.997370007533,-37.7417900033083,3072,PRESTON
531,PRESTON TECHNICAL SCHOOL,144.997370007533,-37.7417900033083,3072,PRESTON
532,MOORLEIGH SECONDARY COLLEGE,145.067919988996,-37.9367899883592,3165,BENTLEIGH EAST
533,PRINCES HILL HIGH SCHOOL,144.965139996625,-37.7831799983599,3054,PRINCES HILL
534,PRINCESS HILL HIGH SCHOOL,144.964309994708,-37.7837399973067,3054,PRINCES HILL
535,MOORLEIGH HIGH SCHOOL,145.067919988996,-37.9367899883592,3165,BENTLEIGH EAST
536,BOX FOREST SECONDARY COLLEGE GLENROY CAMPUS,144.924999992075,-37.7047000011322,3046,GLENROY
537,MORWELL TECHNICAL SCHOOL,146.418479971337,-38.2237399967657,3840,MORWELL
