,pri_school,longitude,latitude,postcode,suburb
273,AIRLY PRIMARY SCHOOL,147.113899992495,-38.0257099861869,3851,AIRLY
274,ALBANVALE PRIMARY SCHOOL,144.77441997692,-37.7440200031547,3021,ALBANVALE
275,MOE (ALBERT STREET) PRIMARY SCHOOL,146.264349979097,-38.1747099990577,3825,MOE
276,ALEXANDRA PRIMARY SCHOOL,145.711699976831,-37.1925699988233,3714,ALEXANDRA
277,ALTONA NORTH PRIMARY SCHOOL,144.849169977943,-37.8369800007934,3025,ALTONA NORTH
278,ANAKIE PRIMARY SCHOOL,144.255109977536,-37.9126699946564,3213,ANAKIE
279,DRUMMOND PRIMARY SCHOOL,144.330180009661,-37.2357000013775,3461,DRUMMOND
280,FAIRFIELD PRIMARY SCHOOL,145.020399987608,-37.7779900001115,3078,FAIRFIELD
281,HUNTINGDALE PRIMARY SCHOOL,145.102359989597,-37.9130799895839,3167,OAKLEIGH SOUTH
282,BENDOC PRIMARY SCHOOL,148.882920039506,-37.1467899853223,3888,BENDOC
283,Munro Primary School,147.189590000795,-37.9012399932564,3862,MUNRO
284,BROOKLYN PRIMARY SCHOOL,144.850419966574,-37.8198499997722,3012,BROOKLYN
285,DEBNEY MEADOWS PRIMARY SCHOOL,144.935149945523,-37.7859899953292,3031,FLEMINGTON
286,LALOR PRIMARY SCHOOL,145.025390013476,-37.670080000783,3075,LALOR
287,NEW GISBORNE PRIMARY SCHOOL,144.596580015452,-37.4628899964545,3438,NEW GISBORNE
288,LANG VIEW PRIMARY SCHOOL,145.721529957875,-38.2373499960505,3981,HEATH HILL
289,BUCHAN SOUTH PRIMARY SCHOOL,148.122089970554,-37.5470699959667,3885,BUCHAN SOUTH
290,BRUNSWICK SOUTH PRIMARY SCHOOL,144.972539984828,-37.7787000008381,3057,BRUNSWICK EAST
291,DEVON MEADOWS PRIMARY SCHOOL,145.3013799742,-38.1620299949201,3977,DEVON MEADOWS
292,DHURRINGILE PRIMARY SCHOOL,145.239790024501,-36.5432000024608,3610,DHURRINGILE
293,GRANYA PRIMARY SCHOOL,147.321809974479,-36.1070698340138,3701,GRANYA
294,GRAVEL HILL PRIMARY SCHOOL,144.279030005723,-36.7609600020313,3550,BENDIGO
295,BRUTHEN PRIMARY SCHOOL,147.833489969382,-37.7042099957034,3885,BRUTHEN
296,HASTINGS PRIMARY SCHOOL,145.189469964522,-38.2996999959856,3915,HASTINGS
297,HAWKSBURN PRIMARY SCHOOL,144.99847996292,-37.8467899960357,3141,SOUTH YARRA
298,HAZELWOOD ESTATE PRIMARY SCHOOL,146.377920012793,-38.3129000013064,3840,HAZELWOOD
299,BALLAN PRIMARY SCHOOL,144.231099986975,-37.6016799971653,3342,BALLAN
300,BALLIANG EAST PRIMARY SCHOOL,144.415350017887,-37.7949799934706,3340,BALLIANG EAST
301,MONTEREY PRIMARY SCHOOL,145.15763998254,-38.1251299947095,3200,FRANKSTON NORTH
302,WINTON SWAMP,145.129889998444,-37.7249199983154,3094,MONTMORENCY
303,MONTROSE PRIMARY SCHOOL,145.343689979274,-37.808099998685,3765,MONTROSE
304,POWLETT RIVER PRIMARY SCHOOL,145.546199971781,-38.5603500025623,3992,DALYSTON
305,PRAHRAN PRIMARY SCHOOL,144.988199969314,-37.8503999963541,3181,PRAHRAN
306,WUNGHNU PRIMARY SCHOOL,145.430599994098,-36.1506600272525,3635,WUNGHNU
307,YACKANDANDAH PRIMARY SCHOOL,146.836459992777,-36.3120999830234,3749,YACKANDANDAH
308,TEAL POINT PRIMARY SCHOOL,144.084029902492,-35.6840100024381,3579,TEAL POINT
309,RUTHVEN PRIMARY SCHOOL,144.995700012073,-37.7026300029505,3073,RESERVOIR
310,BOUNDARY BEND PRIMARY SCHOOL,143.15041999844,-34.7156799855782,3599,BOUNDARY BEND
311,BRANXHOLME PRIMARY SCHOOL,141.798760020979,-37.8562400070015,3302,BRANXHOLME
312,BREWSTER PRIMARY SCHOOL,143.527370022504,-37.4840099964789,3352,BREWSTER
313,BRIDGEWATER PRIMARY SCHOOL,143.945919996175,-36.603100000443,3516,BRIDGEWATER ON LODDON
314,BOSTOCK CREEK PRIMARY SCHOOL,143.11652999972,-38.2890099910924,3260,BOSTOCKS CREEK
315,BRIM EAST PRIMARY SCHOOL,142.560980111113,-36.0976300364148,3391,BRIM
316,BRIMPAEN PRIMARY SCHOOL,142.213480037395,-37.034849993254,3401,BRIMPAEN
317,STRATHMERTON PRIMARY SCHOOL,145.478839942438,-35.924020163171,3641,STRATHMERTON
318,STRATHMORE NORTH PRIMARY SCHOOL,144.915980006458,-37.7248600036425,3041,STRATHMORE
319,YALLAMBIE PRIMARY SCHOOL,145.102219958596,-37.7215600013859,3085,YALLAMBIE
320,STRATHEWEN PRIMARY SCHOOL,145.27009000973,-37.5475799979269,3099,STRATHEWEN
321,STRATHFIELDSAYE PRIMARY SCHOOL,144.352909969936,-36.8043599971563,3551,STRATHFIELDSAYE
322,WELSHPOOL & DISTRICT PRIMARY SCHOOL,146.430989980979,-38.6659600054175,3966,WELSHPOOL
323,WELSHPOOL PRIMARY SCHOOL,146.430989980979,-38.6659600054175,3966,WELSHPOOL
324,WELTON PRIMARY SCHOOL,144.501260638951,-35.9884606547418,3562,TORRUMBARRY
325,WELTON PUBLIC SCHOOL,144.499870654121,-35.9890106586531,3562,TORRUMBARRY
326,CLYDE PRIMARY SCHOOL,145.326379987138,-38.1323199994821,3978,CLYDE
327,SEAFORD PARK PRIMARY SCHOOL,145.154439971327,-38.1050399973645,3198,SEAFORD
328,WINCHELSEA PRIMARY SCHOOL,143.984279989785,-38.2444900501107,3241,WINCHELSEA
329,PAKENHAM LAKESIDE PRIMARY SCHOOL,145.438999988586,-38.0684599989804,3810,PAKENHAM
330,TAYLORS HILL PRIMARY SCHOOL,144.759899982362,-37.7166900030044,3037,TAYLORS HILL
331,WHITE HILLS PRIMARY SCHOOL,144.30414999986,-36.7279400014686,3550,WHITE HILLS
332,BALLARAT EAST PRIMARY SCHOOL,143.872369980737,-37.5653999967676,3350,BALLARAT EAST
333,GLENORMISTON SOUTH PRIMARY SCHOOL,142.927649994279,-38.1870699940717,3265,NOORAT
334,HIGHLANDS PRIMARY SCHOOL,145.40652999054,-37.090959999586,3660,HIGHLANDS
335,BUANGOR PRIMARY SCHOOL,143.175019992957,-37.3640399869961,3375,BUANGOR
336,BUCKLEY SWAMP PRIMARY SCHOOL,142.07431003131,-37.8562400173944,3301,BUCKLEY SWAMP
337,BUCKRABANYULE PRIMARY SCHOOL,143.509029992942,-36.2487399955748,3525,BUCKRABANYULE
338,BULART PRIMARY SCHOOL,141.942090041241,-37.5445700160752,3314,BULART
339,YALLOURN NORTH PRIMARY SCHOOL,146.362219968374,-38.1632099992167,3825,YALLOURN NORTH
340,MINHAMITE PRIMARY SCHOOL,142.325700032467,-37.9926300055391,3287,MINHAMITE
341,MOLYULLAH PRIMARY SCHOOL,146.15430998766,-36.6420699943025,3673,MOLYULLAH
342,MONASH PRIMARY SCHOOL,145.144869954978,-37.9059599964734,3168,NOTTING HILL
343,MONBULK PRIMARY SCHOOL,145.410259977072,-37.8768499977749,3793,MONBULK
344,THORNTON PRIMARY SCHOOL,145.796809955598,-37.2537400093008,3712,THORNTON
345,MAUDE PRIMARY SCHOOL,144.167919960966,-37.9495699941924,3331,MAUDE
346,WERRIBEE PARK PRIMARY SCHOOL,144.686809982079,-37.9501299995244,3030,WERRIBEE SOUTH
347,WERRIBEE PRIMARY SCHOOL,144.658739980613,-37.9068699973723,3030,WERRIBEE
348,WESTMEADOWS HEIGHTS PRIMARY SCHOOL,144.906949988492,-37.6741500007121,3049,WESTMEADOWS
349,WEST MELBOURNE PRIMARY SCHOOL,144.950979977551,-37.8065099965372,3003,WEST MELBOURNE
350,WESBURN PRIMARY SCHOOL,145.647069937218,-37.7686900028361,3799,WESBURN
351,WESTPARK PRIMARY SCHOOL,145.172749995677,-38.2978899968164,3915,HASTINGS
352,WALLAROO PRIMARY SCHOOL,145.172749995677,-38.2978899968164,3915,HASTINGS
353,DIGGERS ROAD PRIMARY SCHOOL,144.686809982079,-37.9501299995244,3030,WERRIBEE SOUTH
354,WESTALL PRIMARY SCHOOL,145.13573997658,-37.942189998067,3169,CLAYTON SOUTH
355,MOUNT TAYLOR PRIMARY SCHOOL,147.598759993275,-37.7442899892853,3875,MOUNT TAYLOR
356,MOUNT VIEW PRIMARY SCHOOL,145.178809985549,-37.8834899926818,3150,GLEN WAVERLEY
357,MOUNT WALLACE PRIMARY SCHOOL,144.222919976994,-37.7409599884931,3342,MOUNT WALLACE
358,MOUNT WAVERLEY PRIMARY SCHOOL,145.124109994305,-37.881269990887,3149,MOUNT WAVERLEY
359,WEST CREEK PRIMARY SCHOOL,145.577919989747,-38.5637400038297,3992,WEST CREEK
360,WESTBREEN PRIMARY SCHOOL,144.935479995009,-37.7162900019191,3044,PASCOE VALE
361,QUANTONG PRIMARY SCHOOL,142.025150037054,-36.7542899858577,3401,QUANTONG
362,RED CLIFFS EAST PRIMARY SCHOOL,142.192090021195,-34.2792900264111,3496,RED CLIFFS
363,ROKEWOOD PRIMARY SCHOOL,143.722819999707,-37.9036599793465,3330,ROKEWOOD
364,ROSS BRIDGE PRIMARY SCHOOL,142.849590027665,-37.485959977125,3377,ROSSBRIDGE
365,SCOTSBURN PRIMARY SCHOOL,143.926810008176,-37.6753999959304,3352,SCOTSBURN
366,KOSCIUSKO STREET PRIMARY SCHOOL,146.515359992341,-38.1992699998319,3844,TRARALGON
367,TRARALGON (STOCKDALE ROAD) PRIMARY SCHOOL,146.524169984918,-38.1899800014325,3844,TRARALGON
368,MERRI CREEK PRIMARY SCHOOL,144.987389972441,-37.7769700008434,3068,FITZROY NORTH
369,ROSEBANK PRIMARY SCHOOL,145.031809994166,-37.708739999464,3073,RESERVOIR
370,LOCKWOOD PRIMARY SCHOOL,144.161559996225,-36.8025800006292,3551,LOCKWOOD
371,ROMSEY PRIMARY SCHOOL,144.745379998433,-37.3541800037647,3434,ROMSEY
372,HORSHAM WEST AND HAVEN PRIMARY SCHOOL - HAVEN CAMPUS,142.194150015107,-36.7580799774341,3401,HAVEN
373,TALLAROOK PRIMARY SCHOOL,145.100669990515,-37.0967600063624,3659,TALLAROOK
374,MUDGEEGONGA PRIMARY SCHOOL,146.836809986969,-36.4906799812098,3737,MUDGEGONGA
375,MULLUM PRIMARY SCHOOL,145.239439990482,-37.7977399973549,3134,RINGWOOD
376,MOUNTAIN GATE PRIMARY SCHOOL,145.269709986503,-37.8856899970059,3156,FERNTREE GULLY
377,RESERVOIR PRIMARY SCHOOL,145.006769999205,-37.7114200037635,3073,RESERVOIR
378,RESERVOIR WEST PRIMARY SCHOOL,144.990230006902,-37.7221400016973,3073,RESERVOIR
379,MOVELLE PRIMARY SCHOOL,144.775359977433,-37.737710003179,3021,KINGS PARK
380,PERSERVERANCE PRIMARY SCHOOL,145.306810009291,-38.3842899966635,3921,FRENCH ISLAND
381,MERTON PRIMARY SCHOOL,145.708199989692,-36.9742900071885,3715,MERTON
382,Willung Primary School,146.820139972643,-38.2529000001198,3847,WILLUNG
383,ZEERUST PRIMARY SCHOOL,145.405069987743,-36.27720001228,3634,ZEERUST
384,YOUANMITE PRIMARY SCHOOL,145.688479990261,-36.1592900135463,3646,YOUANMITE
385,MYRNIONG PRIMARY SCHOOL,144.346319991177,-37.6197199968326,3341,MYRNIONG
386,ROBERTS MCCUBBIN PRIMARY SCHOOL,145.125209998219,-37.8347699876746,3128,BOX HILL SOUTH
387,ROCHESTER PRIMARY SCHOOL,144.697999984584,-36.3545999812389,3561,ROCHESTER
388,MYALL PRIMARY SCHOOL,144.001809486749,-35.5801299674627,3579,MYALL
389,KALKER MONTESSORI CENTRE,145.089229984568,-37.778999992848,3105,BULLEEN
390,YEA PRIMARY SCHOOL,145.428299991524,-37.2127300048837,3717,YEA
391,Beveridge Primary School - Ambrosia Way Campus,144.955009984255,-37.469490001714,3753,BEVERIDGE
392,ARNOLDS CREEK PRIMARY SCHOOL,144.542860001287,-37.6663599961359,3337,HARKNESS
393,The Geelong College Junior School Campus,144.328120001202,-38.1463799978802,3220,NEWTOWN
394,SUNNYCLIFFS PRIMARY SCHOOL,142.193060020012,-34.2797100264689,3496,RED CLIFFS
395,SWAN HILL PRIMARY SCHOOL,143.543250069113,-35.3469099798968,3585,SWAN HILL
396,CRESSY PRIMARY SCHOOL,143.634310003934,-38.0262399765135,3322,CRESSY
397,CRESWICK PRIMARY SCHOOL,143.891559977646,-37.4241099971174,3363,CRESWICK
398,SYDENHAM WEST PRIMARY SCHOOL,144.660419967189,-37.6828999980988,3335,PLUMPTON
399,SYNDAL NORTH PRIMARY SCHOOL,145.141259999853,-37.8673499859848,3149,MOUNT WAVERLEY
400,SYNDAL PRIMARY SCHOOL,145.151529997671,-37.8709599877169,3150,GLEN WAVERLEY
401,SYNDAL SOUTH PRIMARY SCHOOL,145.143299993208,-37.8790899891985,3149,MOUNT WAVERLEY
402,ROSEHILL PARK PRIMARY SCHOOL,144.866809983758,-37.7454000004239,3033,KEILOR EAST
403,TALGARNO PRIMARY SCHOOL,147.159149841432,-36.0657998051267,3691,TALGARNO
404,YERING PRIMARY SCHOOL,145.382219976021,-37.7053499997419,3770,YERING
405,YELLINGBO PRIMARY SCHOOL,145.509589989291,-37.8104000003532,3139,YELLINGBO
406,YINNAR PRIMARY SCHOOL,146.328909995418,-38.321089999728,3869,YINNAR
407,YINNAR SOUTH PRIMARY SCHOOL,146.364809964403,-38.3689100016803,3869,YINNAR SOUTH
408,YUNDOOL PRIMARY SCHOOL,145.829029997264,-36.2615099972637,3727,SAINT JAMES
409,PERANBIN PRIMARY SCHOOL SWANPOOL CAMPUS,146.001810003492,-36.7523499938991,3673,SWANPOOL
410,SWANPOOL PRIMARY SCHOOL,146.001810003492,-36.7523499938991,3673,SWANPOOL
411,STRATHBOGIE PRIMARY SCHOOL,145.736809982986,-36.8562399954796,3666,STRATHBOGIE
412,PERANBIN PRIMARY SCHOOL TATONG CAMPUS,146.10709000167,-36.7290099914103,3673,TATONG
413,TATONG PRIMARY SCHOOL,146.10709000167,-36.7290099914103,3673,TATONG
414,VIOLET TOWN PRIMARY SCHOOL,145.717369980725,-36.6340100026691,3669,VIOLET TOWN
415,MORWELL PRIMARY SCHOOL CRINIGAN STREET,146.417369975229,-38.217899996647,3840,MORWELL
416,TERANG PRIMARY SCHOOL,142.907919987364,-38.2434599892297,3264,TERANG
417,SKIPTON PRIMARY SCHOOL,143.368159994244,-37.6868599978419,3361,SKIPTON
418,TYABB PRIMARY SCHOOL,145.166639985897,-38.2607099961655,3913,TYABB
419,TARNAGULLA PRIMARY SCHOOL,143.828399978287,-36.771260006,3551,TARNAGULLA
420,MILL PARK PRIMARY SCHOOL,145.065879985993,-37.6746100025921,3082,MILL PARK
421,MINCHA WEST PRIMARY SCHOOL,144.100699894648,-35.9215096180531,3568,MINCHA WEST
422,MITTA JUNCTION PRIMARY SCHOOL,147.016809947177,-36.1095698104612,3691,BONEGILLA
423,POINT COOK PRIMARY SCHOOL,144.748479973469,-37.9206799974962,3030,POINT COOK
424,CULGOA PRIMARY SCHOOL,143.102649976745,-35.7178999602045,3530,CULGOA
425,DADSWELLS BRIDGE PRIMARY SCHOOL,142.511260019074,-36.9178999756757,3385,DADSWELLS BRIDGE
426,CARLISLE RIVER PRIMARY SCHOOL,143.395030030531,-38.5639299918361,3239,CARLISLE RIVER
427,CARPENDEIT PRIMARY SCHOOL,143.249869987746,-38.3717899917326,3260,CARPENDEIT
428,CARWARP PRIMARY SCHOOL,142.196259961718,-34.4590100088307,3494,CARWARP
429,CASHMORE PRIMARY SCHOOL,141.478200006394,-38.3109599862163,3305,CASHMORE
430,CASTLE DONNINGTON PRIMARY SCHOOL,143.598760020383,-35.4206799758468,3585,CASTLE DONNINGTON
431,TALLANDOON NORTH SCHOOL,147.242090032455,-36.4015099437404,3701,TALLANDOON
432,TALLANGATTA PRIMARY SCHOOL,147.174200078513,-36.2147997992651,3700,TALLANGATTA
433,LITTLE RIVER PRIMARY SCHOOL,144.500370000107,-37.9650099951543,3211,LITTLE RIVER
434,SOUTH STREET PRIMARY SCHOOL,146.259029979992,-38.18345999872,3825,MOE
435,WINTERS FLAT PRIMARY SCHOOL,144.207489980437,-37.0701600003064,3450,CASTLEMAINE
436,WINTON PRIMARY SCHOOL,146.081339958787,-36.5163300041646,3673,WINTON
437,WODONGA PRIMARY SCHOOL,146.889820023333,-36.1292099418876,3690,WODONGA
438,SOUTH MELBOURNE PRIMARY SCHOOL,144.953499991634,-37.8293499968509,3006,SOUTHBANK
439,CHARLTON PRIMARY SCHOOL,143.353479987756,-36.26845999206,3525,CHARLTON
440,CHETWYND PRIMARY SCHOOL,141.420699949896,-37.2776300348842,3312,CHETWYND
441,CLARENDON PRIMARY SCHOOL,143.973759981645,-37.698740000088,3352,CLARENDON
442,CLEAR LAKE PRIMARY SCHOOL,141.86015000841,-36.9242899917004,3409,CLEAR LAKE
443,MYRTLE CREEK PRIMARY SCHOOL,144.429589920601,-36.9456799991076,3551,MYRTLE CREEK
444,LOCH PRIMARY SCHOOL,145.702949988046,-38.3686199985307,3945,LOCH
445,MYRTLEBANK PRIMARY SCHOOL,147.029030024257,-38.0656799879058,3851,MYRTLEBANK
446,MYRTLEFORD PRIMARY SCHOOL,146.726529979099,-36.5501299872445,3737,MYRTLEFORD
447,MYRTLEFORD CONSOLIDATED SCHOOL,146.726529979099,-36.5501299872445,3737,MYRTLEFORD
448,MYWEE PRIMARY SCHOOL,145.495980000264,-35.8715101700357,3641,STRATHMERTON
449,NAGAMBIE PRIMARY SCHOOL,145.157229986127,-36.7875899963036,3608,NAGAMBIE
450,LOCH SPORT PRIMARY SCHOOL,147.56717000919,-38.0581899877619,3851,LOCH SPORT
451,Nambrok-Denison Primary School,146.874829981392,-38.053989994042,3847,NAMBROK
452,Nambrok Primary School,146.874829981392,-38.053989994042,3847,NAMBROK
453,NAR NAR GOON PRIMARY SCHOOL,145.574009991369,-38.0827699995983,3812,NAR NAR GOON
454,NARRACAN PRIMARY SCHOOL,146.231629987548,-38.2615800001865,3824,NARRACAN
455,NARRE WARREN EAST PRIMARY SCHOOL,145.376809977616,-37.9598499969441,3804,NARRE WARREN EAST
456,NARRE WARREN NORTH PRIMARY SCHOOL,145.316919966962,-37.9785899948722,3804,NARRE WARREN NORTH
457,NARRE WARREN STATION PRIMARY SCHOOL,145.306809963982,-38.0301299984853,3805,NARRE WARREN
458,LISMORE PRIMARY SCHOOL,143.339299977034,-37.9545999907006,3324,LISMORE
459,LITTLE BENDIGO PRIMARY SCHOOL,143.895059971081,-37.5428999960782,3350,NERRINA
460,MOONAMBEL PRIMARY SCHOOL,143.320740010827,-36.9898599985951,3478,MOONAMBEL
461,NICHOLS POINT PRIMARY SCHOOL,142.204630083071,-34.2088000076576,3501,NICHOLS POINT
462,NORADJUHA PRIMARY SCHOOL,141.963480041512,-36.835129986904,3409,NORADJUHA
463,NULLAWIL PRIMARY SCHOOL,143.179120033992,-35.8527299607168,3529,NULLAWIL
464,MOUNT CLEAR PRIMARY SCHOOL,143.868370010464,-37.6047399997556,3350,MOUNT CLEAR
465,TONGALA CONSOLIDATED SCHOOL,144.955420030166,-36.2498499739995,3621,TONGALA
466,OVERPORT PRIMARY SCHOOL,145.126969971008,-38.1604899988079,3199,FRANKSTON
467,COGHILLS CREEK PRIMARY SCHOOL,143.76875999212,-37.3906800010902,3364,COGHILLS CREEK
468,COLAC EAST PRIMARY SCHOOL,143.597920002041,-38.3370699911174,3250,COLAC
469,COLAC PRIMARY SCHOOL,143.598340002951,-38.3372199911447,3250,COLAC
470,COLAC WEST PRIMARY SCHOOL,143.579749972348,-38.3364199899738,3250,COLAC
471,COBDEN PRIMARY SCHOOL,143.078119968855,-38.3271199909912,3266,COBDEN
472,COLERAINE PRIMARY SCHOOL,141.684040116362,-37.6018400251449,3315,COLERAINE
473,CONCONGELLA PRIMARY SCHOOL,142.822319983051,-37.0495599698003,3384,CONCONGELLA
474,CONNEWIRRECOO PRIMARY SCHOOL,141.46152999633,-37.2004000296068,3318,CONNEWIRRICOO
475,ROSANNA PRIMARY SCHOOL,145.062899970887,-37.7353999997653,3084,ROSANNA
476,ROSEBUD PRIMARY SCHOOL,144.908999986935,-38.3557599940536,3939,ROSEBUD
477,ROSEDALE PRIMARY SCHOOL,146.773909992674,-38.1545999960034,3847,ROSEDALE
478,ROSEHILL PRIMARY SCHOOL,147.531090068259,-37.8286299984753,3875,HILLSIDE
479,ROSEWALL PRIMARY SCHOOL,144.373759952822,-38.0642899943827,3214,CORIO
480,ROSEWOOD DOWNS PRIMARY SCHOOL,145.213459978823,-37.9441099974588,3175,DANDENONG NORTH
481,ROSLYN PRIMARY SCHOOL,144.329819977988,-38.1740100001609,3216,BELMONT
482,ROLLINS PRIMARY SCHOOL,144.326460006255,-38.1012099974945,3215,BELL POST HILL
483,ROWVILLE PRIMARY SCHOOL,145.23710997805,-37.9229199959695,3178,ROWVILLE
484,TOTTENHAM NORTH PRIMARY SCHOOL,144.855979985785,-37.7904000009673,3019,BRAYBROOK
485,TRUGANINA SOUTH PRIMARY SCHOOL,144.725649978478,-37.86452999461,3029,TRUGANINA
486,LYNDHURST PRIMARY SCHOOL,145.254079973209,-38.074959996089,3975,LYNDHURST
487,DALLAS BROOKS COMMUNITY PRIMARY SCHOOL - DALLAS CAMPUS,144.932229994124,-37.6741499994354,3047,DALLAS
488,ATHOL ROAD PRIMARY SCHOOL - WEST CAMPUS,145.149969968918,-37.9710499962286,3172,SPRINGVALE SOUTH
489,DUNOLLY PRIMARY SCHOOL,143.733580015364,-36.8515499964902,3472,DUNOLLY
490,EAST GREENWALD SCHOOL,141.401260083107,-37.9404000148589,3304,GREENWALD
491,ECKLIN PRIMARY SCHOOL,142.910149994969,-38.3884599912372,3265,ECKLIN SOUTH
492,ECKLIN SOUTH PRIMARY SCHOOL,142.909029997848,-38.3917899911901,3265,ECKLIN SOUTH
493,EDDINGTON PRIMARY SCHOOL,143.859309970106,-36.8826299986713,3472,EDDINGTON
494,CORINDHAP PRIMARY SCHOOL,143.741529979023,-37.8778999853727,3352,CORINDHAP
495,ELINGAMITE PRIMARY SCHOOL,143.02152997822,-38.3656799918,3266,ELINGAMITE
496,ELLERSLIE PRIMARY SCHOOL,142.685979999656,-38.1517899854823,3265,ELLERSLIE
497,ELLIMINYT PRIMARY SCHOOL,143.583699998123,-38.3613499903723,3250,ELLIMINYT
498,ELMHURST PRIMARY SCHOOL,143.250209999848,-37.1779999864372,3469,ELMHURST
499,RIDDELLS CREEK PRIMARY SCHOOL,144.679779979345,-37.4612199980187,3431,RIDDELLS CREEK
500,RICHMOND NORTH PRIMARY SCHOOL,145.007369987885,-37.8145699974451,3121,RICHMOND
501,RICHMOND PRIMARY SCHOOL,144.999069975693,-37.8295699979694,3121,RICHMOND
502,RINGWOOD EAST PRIMARY SCHOOL,145.250699978746,-37.8048499991817,3135,RINGWOOD EAST
503,RINGWOOD NORTH PRIMARY SCHOOL,145.230739986497,-37.793129996722,3134,RINGWOOD NORTH
504,RINGWOOD PRIMARY SCHOOL,145.229869987793,-37.8190099988223,3134,RINGWOOD
505,RIPPLEBROOK PRIMARY SCHOOL,145.75848995728,-38.203489995486,3818,RIPPLEBROOK
506,SUNBURY HEIGHTS PRIMARY SCHOOL,144.706959964961,-37.5811400005937,3429,SUNBURY
507,SUNBURY PRIMARY SCHOOL,144.728139989549,-37.5976899991228,3429,SUNBURY
508,SUNSHINE EAST PRIMARY SCHOOL,144.845689966376,-37.7829300012224,3020,SUNSHINE
509,SUNSHINE HARVESTER PRIMARY SCHOOL,144.845689966376,-37.7829300012224,3020,SUNSHINE
510,SUNSHINE PRIMARY SCHOOL,144.831099963053,-37.7908799992819,3020,SUNSHINE
511,YANDOIT PRIMARY SCHOOL,144.088439979101,-37.213999995473,3461,YANDOIT
512,YANNATHAN PRIMARY SCHOOL,145.612369978972,-38.2117899991159,3981,CATANI
513,YANNATHAN SOUTH PRIMARY SCHOOL,145.65264003142,-38.2509599972205,3984,LANG LANG EAST
514,YAPEEN PRIMARY SCHOOL,144.182649987761,-37.128179999052,3451,YAPEEN
515,YARCK PRIMARY SCHOOL,145.615980001721,-37.1048499924535,3719,YARCK
516,YARRA GLEN PRIMARY SCHOOL,145.372409982881,-37.6497100017077,3775,YARRA GLEN
517,YARRA ROAD PRIMARY SCHOOL,145.272229986264,-37.7663999984406,3136,CROYDON NORTH
518,YARRA PRIMARY SCHOOL,145.007479986858,-37.8146399974531,3121,RICHMOND
519,YARRAGON SOUTH PRIMARY SCHOOL,146.089309985151,-38.2390099976211,3823,YARRAGON SOUTH
520,YARRALEEN PRIMARY SCHOOL,145.089029988208,-37.7734599947999,3105,BULLEEN
521,YARRAMBAT PRIMARY SCHOOL,145.133099977035,-37.6412500010159,3091,YARRAMBAT
522,YARRAVILLE PRIMARY SCHOOL,144.893479988912,-37.8215099997096,3013,YARRAVILLE
523,YARRAVILLE WEST PRIMARY SCHOOL,144.885389991049,-37.8147500001172,3013,YARRAVILLE
524,YARRAWONGA PRIMARY SCHOOL,146.002639893735,-36.0098499931587,3730,YARRAWONGA
525,Riverwalk Primary School,144.639459982427,-37.9213999961689,3030,WERRIBEE
526,PANMURE PRIMARY SCHOOL,142.732529978479,-38.3293499883034,3265,PANMURE
527,PERENNA PRIMARY SCHOOL,141.705150069635,-36.059009983742,3418,NETHERBY
528,BEAUFORT PRIMARY SCHOOL,143.381720001113,-37.4385199931482,3373,BEAUFORT
529,BEEAC PRIMARY SCHOOL,143.644279989265,-38.193969988163,3251,BEEAC
530,BEALIBA PRIMARY SCHOOL,143.551900002962,-36.7899400016789,3475,BEALIBA
531,BERRIWILLOCK PRIMARY SCHOOL,142.993479995984,-35.6342899600763,3531,BERRIWILLOCK
532,BEULAH PRIMARY SCHOOL,142.418260115004,-35.9449400641568,3395,BEULAH
533,BEVERFORD DISTRICT PRIMARY SCHOOL,143.47891001594,-35.2324799071452,3590,BEVERFORD
534,MOUNT WAVERLEY HEIGHTS PRIMARY SCHOOL,145.111839972591,-37.8889999950883,3149,MOUNT WAVERLEY
535,SUTHERLAND CREEK PRIMARY SCHOOL,144.227640013807,-38.013739995481,3331,SUTHERLANDS CREEK
536,SUTTON GRANGE PRIMARY SCHOOL,144.358199965376,-36.9873499986603,3448,SUTTON GRANGE
537,SUNVALE PRIMARY SCHOOL,144.836249966058,-37.7825299995794,3020,SUNSHINE
538,LILYDALE PRIMARY SCHOOL,145.35406997552,-37.7536699980722,3140,LILYDALE
539,LILYDALE WEST PRIMARY SCHOOL,145.336109978457,-37.755179999826,3140,LILYDALE
540,SURFSIDE PRIMARY SCHOOL,144.541659967234,-38.2614500017201,3226,OCEAN GROVE
541,VICTORIA ROAD PRIMARY SCHOOL,145.336109978457,-37.755179999826,3140,LILYDALE
542,SURREY HILLS PRIMARY SCHOOL,145.100899979452,-37.8255299879408,3127,SURREY HILLS
543,LINDENOW SOUTH PRIMARY SCHOOL,147.4339000661,-37.8269400138251,3875,LINDENOW SOUTH
544,YARRUNGA PRIMARY SCHOOL,146.317179983336,-36.3725599865332,3677,WANGARATTA
545,YAWARRA PRIMARY SCHOOL,145.254979980778,-37.8611599958289,3155,BORONIA
546,HOLY ROSARY SCHOOL,144.928779957589,-37.7955799989541,3031,KENSINGTON
547,KILLARA PRIMARY SCHOOL,144.704579949214,-37.5637899993255,3429,SUNBURY
548,LANGWARRIN PARK PRIMARY SCHOOL,145.202499978803,-38.1509099959749,3910,LANGWARRIN
549,MONMIA PRIMARY SCHOOL,144.792049985732,-37.7172700021806,3038,KEILOR DOWNS
