address,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
"1 WHALERS COURT, PORTLAND",4.0,1.0,2,3305,217011422,House,358.86388,1.79001,1.91264,1.78051,1.612,0.5918,2.07516,,290.0
"1 WILKINSONS ROAD, RAGLAN",2.0,1.0,4,3373,201031014,House,174.20844,1.39531,0.77389,14.65508,9.78736,13.38977,13.45069,,300.0
"1 WILLIAM TERRACE, TRARALGON",3.0,2.0,2,3844,205041493,House,164.18866,,0.39549,2.57799,1.63787,,0.3352099999999999,,305.0
"1 WILLS STREET, SUNBURY",3.0,1.0,1,3429,210041540,House,39.47071,1.30217,1.09482,,1.88683,,,,290.0
"1 YARTO COURT, MEADOW HEIGHTS",3.0,2.0,2,3048,210051247,House,20.68377,0.33408,1.18573,,,,,,320.0
"1 YVETTE COURT, EPPING",3.0,1.0,1,3076,209041432,House,23.61723,,2.29756,5.001810000000001,3.53814,,3.53323,,320.0
"1-3 STATION STREET, WILLAURA",4.0,1.0,1,3379,215011387,House,240.41073,0.64071,0.2986999999999999,28.96166,0.63317,0.80821,0.31583,,150.0
"1-3 SULLIVAN STREET, MALMSBURY",3.0,2.0,2,3446,202021030,House,97.45589,11.77564,2.1567800000000004,2.98483,0.78661,12.24711,1.90904,,738.5
"1.06/91 DOW STREET, PORT MELBOURNE",1.0,1.0,1,3207,206051130,Apartment,5.56449,0.2484799999999999,1.26167,,1.13852,,0.4197099999999999,,385.0
"1.09/569 GLENFERRIE ROAD, HAWTHORN",2.0,1.0,1,3122,207011520,Apartment,7.70406,1.21405,0.39647,0.68562,0.90697,,0.50814,,450.0
"1/ 8 MILL ST, ST ARNAUD",4.0,2.0,2,3478,215011391,House,239.59764,0.58285,0.26169,0.6493,1.63365,1.00245,0.83215,,200.0
"1/1 ARMADALE STREET, ARMADALE",1.0,1.0,1,3143,206061135,Apartment,10.15485,0.97126,1.43402,,0.74402,,,,290.0
"1/1 AUSTIN STREET, HAWTHORN",3.0,1.0,2,3122,207011520,House,6.60216,2.49871,1.47948,1.63413,1.85548,,1.79288,,675.0
"1/1 BROWNING DRIVE, GLEN WAVERLEY",2.0,1.0,1,3150,212051321,Apartment,22.22825,2.5150300000000003,0.3825199999999999,0.2489,,,3.40877,,370.0
"1/1 CYRIL STREET, ELWOOD",1.0,1.0,0,3184,206051129,Apartment,8.72806,2.10418,0.8963099999999999,1.30533,,,1.06558,,320.0
"1/1 FINCH STREET, BAYSWATER",2.0,1.0,1,3153,211011251,Apartment,33.36397,1.76893,0.69674,1.11968,1.59083,,,0.39573,300.0
"1/1 FINCH STREET, BAYSWATER",2.0,1.0,1,3153,211011251,House,33.36397,1.76893,0.69674,1.11968,1.59083,,,0.39573,300.0
"1/1 FOOT STREET, FRANKSTON",2.0,2.0,1,3199,214011371,House,54.55553,0.72877,1.03359,0.7220599999999999,1.15416,0.8421900000000001,2.5902800000000004,2.04104,220.0
"1/1 GEORGE STREET, BEACONSFIELD",3.0,2.0,1,3807,212011546,House,48.42846,0.40153,0.6175499999999999,,0.91339,,,,320.0
"1/1 GORDON GROVE, MALVERN",2.0,1.0,2,3144,208041194,Apartment,11.19503,1.1121500000000002,1.91478,,0.4202599999999999,,0.93402,,490.0
"1/1 HOLYROOD AVENUE, NEWTOWN",2.0,1.0,1,3220,203021046,Apartment,79.1335,0.38426,1.5856400000000002,,,,,,250.0
"1/1 INDUSTRY LANE, COBURG",1.0,1.0,1,3058,206011497,Apartment,9.16039,0.3271,1.08859,0.63149,,,,,355.0
"1/1 LANARK STREET, BRUNSWICK EAST",1.0,1.0,1,3057,206011106,House,6.68376,0.56165,1.85295,,,,,,250.0
"1/1 MARTIN PLACE, GLEN WAVERLEY",4.0,2.0,2,3150,212051322,House,25.46243,1.16432,0.57267,1.37138,1.86002,,,1.35144,340.0
"1/1 NEWCOMBE STREET, MARENGO",1.0,1.0,1,3233,217031476,Apartment,203.20884,11.83601,40.8449,,45.30812,3.68562,2.6133800000000003,,195.0
"1/1 NOLAN STREET, FRANKSTON SOUTH",3.0,2.0,1,3199,214011371,House,54.55414,0.5814400000000001,1.06564,1.7281300000000002,1.6001800000000002,1.29302,1.91757,1.41344,270.0
"1/1 OLYMPIC STREET, BUNDOORA",3.0,2.0,1,3083,209011196,House,17.10068,0.7639,1.1203299999999998,1.02955,,,,1.02325,500.0
"1/1 REGIS CLOSE, WERRIBEE",2.0,1.0,2,3030,213051468,House,37.32599,1.90893,1.15278,,18.94984,,,,240.0
"1/1 SHARPE STREET, RESERVOIR",2.0,1.0,1,3073,209021526,Apartment,11.34095,0.96099,1.97641,3.44931,0.41661,,1.38826,,311.6666666666667
"1/1 SUMMERS STREET, DEER PARK",2.0,1.0,1,3023,213011569,Apartment,26.20774,0.7833600000000001,0.39397,3.16984,0.8899600000000001,,,,245.0
"1/1 TEAL STREET, ROSEBUD WEST",3.0,2.0,2,3940,214021384,Apartment,94.84295,5.291939999999999,3.1733200000000004,2.86835,,2.8740300000000003,3.34021,,350.0
"1/1 THROUGH ROAD, RINGWOOD NORTH",3.0,1.0,1,3134,211031268,House,28.50495,0.50203,0.72476,2.60385,,,,,330.0
"1/1 VERBENA STREET, BARANDUDA",2.0,1.0,2,3691,204031491,House,322.05281,5.18628,0.09801,,10.45043,,,,315.0
"1/1 WILDWOOD GROVE, RINGWOOD",3.0,2.0,2,3134,211031266,House,27.198490000000003,1.34146,1.51223,1.71991,1.0666300000000002,,0.6454500000000001,0.78649,330.0
"1/1 WILPENA COURT, ST ALBANS",3.0,1.0,1,3021,213011335,House,20.530330000000003,2.39816,2.3126100000000003,2.0483,2.88062,,,,300.0
"1/10 ASHBY COURT, ALTONA MEADOWS",2.0,1.0,1,3028,213021342,Apartment,24.56155,1.39168,2.03861,,,,,,280.0
"1/10 DEVON STREET, LAKE WENDOUREE",3.0,2.0,1,3350,201011002,House,116.51611,1.29436,1.05818,2.17721,3.6744,0.92316,2.65537,,450.0
"1/10 LIEGE AVENUE, NOBLE PARK",1.0,1.0,1,3174,212041459,Apartment,32.68011,1.46319,0.23569,1.3199,1.62956,,,,170.0
"1/10 MATTHIESON STREET, HIGHETT",3.0,1.0,2,3190,208031188,House,26.65073,0.97031,2.5283,1.891,,,2.23489,1.21658,450.0
