,address,latitude,longitude,nbed,nbath,ncar,historical_prices,type,historical_dates,postcode
0,"12 WALKER STREET, DONALD",-36.3683830,142.9863010,3,2,2,$250 per week,House,February 2019,3480
0,"12 WALKER STREET, DONALD",-36.3683830,142.9863010,3,2,2,$250 per week,House,November 2018,3480
0,"12 WALKER STREET, DONALD",-36.3683830,142.9863010,3,2,2,$250,House,November 2018,3480
0,"64A WOODS STREET, DONALD",-36.3704648,142.9820008,4,1,none,$200 per week,none,February 2019,3480
0,"64A WOODS STREET, DONALD",-36.3704648,142.9820008,4,1,none,$200 per week,none,February 2019,3480
0,"64A WOODS STREET, DONALD",-36.3704648,142.9820008,4,1,none,$200 per week,none,September 2018,3480
0,"64A WOODS STREET, DONALD",-36.3704648,142.9820008,4,1,none,$200,none,September 2018,3480
0,"23 ELIZABETH STREET;, DONALD",-36.3585864,142.9893234,3,1,none,$165 per week,House,February 2019,3480
0,"23 ELIZABETH STREET;, DONALD",-36.3585864,142.9893234,3,1,none,$165 per week,House,February 2019,3480
0,"23 ELIZABETH STREET;, DONALD",-36.3585864,142.9893234,3,1,none,$165 per week,House,January 2019,3480
0,"23 ELIZABETH STREET;, DONALD",-36.3585864,142.9893234,3,1,none,$165,House,July 2018,3480
0,"13 ALLEN STREET, DONALD",-36.380016,142.990693,4,1,4,$190,none,January 2019,3480
0,"13 ALLEN STREET, DONALD",-36.380016,142.990693,4,1,4,$190,none,January 2019,3480
0,"13 ALLEN STREET, DONALD",-36.380016,142.990693,4,1,4,$190,none,May 2018,3480
0,"13 ALLEN STREET, DONALD",-36.380016,142.990693,4,1,4,$185 pw,none,June 2017,3480
0,"13 ALLEN STREET, DONALD",-36.380016,142.990693,4,1,4,$175 pw,none,November 2015,3480
0,"13 ALLEN STREET, DONALD",-36.380016,142.990693,4,1,4,$175 pw,none,May 2015,3480
0,"23 ELIZABETH STREET, DONALD",-36.35856,142.988838,3,1,none,$165,House,December 2018,3480
0,"23 ELIZABETH STREET, DONALD",-36.35856,142.988838,3,1,none,$165,House,December 2018,3480
0,"23 ELIZABETH STREET, DONALD",-36.35856,142.988838,3,1,none,$165,House,July 2018,3480
0,"23 ELIZABETH STREET, DONALD",-36.35856,142.988838,3,1,none,$165,House,June 2018,3480
0,"23 ELIZABETH STREET, DONALD",-36.35856,142.988838,3,1,none,$165,House,August 2017,3480
0,"23 ELIZABETH STREET, DONALD",-36.35856,142.988838,3,1,none,$180 pw,House,May 2016,3480
0,"23 ELIZABETH STREET, DONALD",-36.35856,142.988838,3,1,none,$180 pw,House,April 2016,3480
0,"23 ELIZABETH STREET, DONALD",-36.35856,142.988838,3,1,none,$180 pw,House,August 2015,3480
