,SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,STATE_CODE_2016,SINGLE_NAME,VIC_NAME,MULTIPLE_NAME,VALID_NAME
454,217031473,21473,COLAC REGION,2,True,False,False,True
455,217031474,21474,CORANGAMITE NORTH,2,False,False,True,False
456,217031475,21475,CORANGAMITE SOUTH,2,False,False,True,False
457,217031476,21476,OTWAY,2,True,False,False,True
458,217041477,21477,MOYNE EAST,2,False,False,True,False
459,217041478,21478,MOYNE WEST,2,False,False,True,False
460,217041479,21479,WARRNAMBOOL NORTH,2,False,False,True,False
461,217041480,21480,WARRNAMBOOL SOUTH,2,False,False,True,False
462,297979799,29799,MIGRATORY OFFSHORE SHIPPING,2,False,True,True,False
463,299999499,29499,NO USUAL ADDRESS,2,True,True,False,True
465,201011008,21008,WENDOUREE,2,False,False,True,False
466,201021010,21010,CRESWICK,2,False,False,True,False
467,201031015,21015,GOLDEN PLAINS,2,False,False,True,False
468,202011019,21019,CALIFORNIA GULLY,2,False,False,True,False
469,202011020,21020,EAST BENDIGO,2,False,False,True,False
470,202011021,21021,FLORA HILL,2,False,False,True,False
471,202011022,21022,KANGAROO FLAT,2,False,False,True,False
472,202011025,21025,WHITE HILLS,2,False,False,True,False
473,202021026,21026,BENDIGO REGION,2,False,False,True,False
474,203021038,21038,CORIO,2,False,False,True,False
475,203021040,21040,GEELONG WEST,2,False,False,True,False
476,203021045,21045,NEWCOMB,2,False,False,True,False
477,203021047,21047,NORTH GEELONG,2,False,False,True,False
478,203031049,21049,LORNE,2,False,False,True,False
479,203031050,21050,OCEAN GROVE,2,False,False,True,False
480,203031052,21052,POINT LONSDALE,2,False,False,True,False
481,204011056,21056,KILMORE,2,False,False,True,False
482,204031069,21069,BRIGHT,2,False,False,True,False
483,204031070,21070,CHILTERN,2,False,False,True,False
484,205021080,21080,ALPS,2,False,False,True,False
485,205021082,21082,BRUTHEN,2,False,False,True,False
486,205031093,21093,WONTHAGGI,2,False,False,True,False
487,205041095,21095,MOE,2,False,False,True,False
488,205041098,21098,YALLOURN NORTH,2,False,False,True,False
489,205051100,21100,LONGFORD,2,False,False,True,False
490,206021110,21110,ALPHINGTON,2,False,False,True,False
491,206031114,21114,ESSENDON,2,False,False,True,False
492,206041125,21125,SOUTH YARRA,2,False,False,True,False
493,206061136,21136,PRAHRAN,2,False,False,True,False
494,206071140,21140,CARLTON NORTH,2,False,False,True,False
495,206071145,21145,YARRA,2,False,False,True,False
496,207011150,21150,GLEN IRIS,2,False,False,True,False
497,207011155,21155,,2,False,False,True,False
498,208011171,21171,CHELTENHAM,2,False,False,True,False
499,208011173,21173,SANDRINGHAM,2,False,False,True,False
500,208021174,21174,BENTLEIGH,2,False,False,True,False
501,208021177,21177,CAULFIELD,2,False,False,True,False
502,208021182,21182,ORMOND,2,False,False,True,False
503,208031183,21183,ASPENDALE GARDENS,2,False,False,True,False
504,208031185,21185,CARRUM,2,False,False,True,False
505,208031186,21186,CHELSEA,2,False,False,True,False
506,208031189,21189,EDITHVALE,2,False,False,True,False
507,208031191,21191,MOORABBIN,2,False,False,True,False
508,208031193,21193,MORDIALLOC,2,False,False,True,False
509,208041194,21194,MALVERN,2,False,False,True,False
510,209011196,21196,BUNDOORA,2,False,False,True,False
511,209011198,21198,HEIDELBERG,2,False,False,True,False
512,209011201,21201,IVANHOE EAST,2,False,False,True,False
513,209011202,21202,MONTMORENCY,2,False,False,True,False
514,209011203,21203,VIEWBANK,2,False,False,True,False
515,209021207,21207,RESERVOIR,2,False,False,True,False
516,209021428,21428,PRESTON,2,False,False,True,False
517,209031212,21212,PANTON HILL,2,False,False,True,False
518,209031213,21213,PLENTY,2,False,False,True,False
519,209031214,21214,RESEARCH,2,False,False,True,False
520,209031215,21215,WATTLE GLEN,2,False,False,True,False
521,209041220,21220,MILL PARK,2,False,False,True,False
522,209041431,21431,EPPING,2,False,False,True,False
523,210011230,21230,NIDDRIE,2,False,False,True,False
525,210051243,21243,CAMPBELLFIELD,2,False,False,True,False
526,210051245,21245,GLADSTONE PARK,2,False,False,True,False
527,210051246,21246,GREENVALE,2,False,False,True,False
528,210051249,21249,ROXBURGH PARK,2,False,False,True,False
529,210051441,21441,CRAIGIEBURN,2,False,False,True,False
