,Unnamed: 0,bedrooms,bathrooms,carspaces,building_area,street_address,latitude,longitude,price,distance_to_city,weekly_rent
927,927,3.0,2.0,1.0,536.48,154 Morris Road Hoppers Crossing VIC 3029,-37.8709533,144.70313149999996,$390,23.9142,390.0
928,928,4.0,2.0,2.0,,7 Myrtleleaf Street Tarneit VIC 3029,-37.814991,144.6791782,$460 Per Week Only,25.2961,460.0
929,929,4.0,2.0,2.0,,18 Surin Road Tarneit VIC 3029,-37.86068770000001,144.65006169999995,$460 per week,28.2467,460.0
930,930,3.0,2.0,2.0,,20 Moombil Road Truganina VIC 3029,-37.7664874,144.6916852,$400,24.8739,400.0
931,931,4.0,2.0,2.0,,26 Dublin Street Tarneit VIC 3029,-37.84515570000001,144.6432169,$450 Per Week!!,28.6096,450.0
932,932,4.0,2.0,2.0,,18 Manning Circuit Tarneit VIC 3029,-37.83724430000001,144.6899658,$475,24.4348,475.0
933,933,4.0,2.0,4.0,,18 Bighorn Road Truganina VIC 3029,-37.7596077,144.6946696,$450,24.8095,450.0
934,934,3.0,2.0,2.0,,15 Bellvue drive Truganina VIC 3029,-37.8409748,144.7096507,$450,22.7533,450.0
935,935,3.0,2.0,1.0,,2 Pendant Walk Truganina VIC 3029,-37.8453792,144.7406568,$420,20.1143,420.0
936,936,4.0,2.0,,,47 Guinane Avenue Hoppers Crossing VIC 3029,-37.8751708,144.6885936,$410,25.2681,410.0
937,937,4.0,2.0,2.0,553.0,10 Woodville Park Drive Hoppers Crossing VIC 3029,-37.8794303,144.6892368,$390.00 Per Week,25.3364,390.0
938,938,4.0,2.0,2.0,,20 Pechora Street Truganina VIC 3029,-37.7666462,144.69142380000005,$445,24.8922,445.0
939,939,3.0,2.0,1.0,,43 Emperor Pde Tarneit VIC 3029,-37.8498218,144.6669631,$400,26.5975,400.0
940,940,3.0,2.0,2.0,,10 Silkwood Blvd Tarneit VIC 3029,-37.8482734,144.69680569999997,$420,23.9751,420.0
941,941,4.0,2.0,2.0,288.0,44 Ararat Street Tarneit VIC 3029,-37.8424355,144.64282269999995,$430.00 Per Week,28.6143,430.0
942,942,4.0,2.0,2.0,,4 Alstonville Avenue Truganina VIC 3029,-37.8133929,144.718765,$470 per week,21.8191,470.0
943,943,4.0,2.0,2.0,562.0,16 Fairway Avenue Hoppers Crossing VIC 3029,-37.8834205,144.69365369999997,$410 Per Week,25.0873,410.0
944,944,5.0,2.0,2.0,,11 Glenwood Close Hoppers Crossing VIC 3029,-37.8493038,144.6732438,$540,26.0426,540.0
945,945,4.0,2.0,2.0,,79 Verdant Road Truganina VIC 3029,-37.859469,144.72260500000004,$415 per week,21.9573,415.0
946,946,4.0,2.0,2.0,462.0,26 Claire Way Tarneit VIC 3029,-37.8515069,144.66514119999997,$440,26.7814,440.0
947,947,4.0,2.0,2.0,400.0,51 Clara Avenue Truganina VIC 3029,-37.76068460000001,144.6925621,$550,24.9573,550.0
948,948,4.0,2.0,2.0,,12 Wootten Road Tarneit VIC 3029,-37.85949960000001,144.6601258,$465.00,27.3525,465.0
949,949,3.0,2.0,2.0,,11 Nettlefold Avenue Hoppers Crossing VIC 3029,-37.8649881,144.6931177,$350,24.62,350.0
950,950,4.0,2.0,2.0,,13 Karen Road Tarneit VIC 3029,-37.8170851,144.6854216,$440 per week,24.7446,440.0
951,951,3.0,2.0,1.0,,1/12 Vilnius Way Truganina VIC 3029,-37.8439166,144.7225966,$380,21.6632,380.0
952,952,4.0,2.0,2.0,,8 Mornington Avenue Tarneit VIC 3029,-37.8466586,144.6402417,$450,28.8873,450.0
953,953,3.0,2.0,4.0,,8 Keats Court Truganina VIC 3029,-37.8533987,144.71668530000005,$380 Per Week,22.3385,380.0
954,954,4.0,2.0,2.0,,11 Elmhurst Road Truganina VIC 3029,-37.8440771,144.7392084,$450,20.2191,450.0
955,955,4.0,2.0,2.0,,12 Stromlo Way Truganina VIC 3029,-37.765813,144.6955835,$440 per week,24.5582,440.0
957,957,3.0,2.0,3.0,507.0,452 Morris Road Truganina VIC 3029,-37.8422223,144.7081924,$450 pw,22.8964,450.0
958,958,4.0,2.0,2.0,,12 Chopin Road Truganina VIC 3029,-37.8235974,144.70756469999995,$450,22.8045,450.0
959,959,4.0,2.0,2.0,,2 Kindee Way Truganina VIC 3029,-37.8248334,144.74869909999995,$450 PER WEEK,19.1937,450.0
960,960,5.0,2.0,2.0,,9 Farnborough Street Hoppers Crossing VIC 3029,-37.8667805,144.66739180000005,$470 per week,26.8735,470.0
961,961,4.0,2.0,2.0,,49 Madden Boulevard Tarneit VIC 3029,-37.8231651,144.6789054,$430 per week,25.3227,430.0
962,962,4.0,2.0,2.0,,32 Dowling Avenue Hoppers Crossing VIC 3029,-37.8664943,144.6787651,$355,25.8885,355.0
963,963,4.0,2.0,2.0,,19 McDougall Place Truganina VIC 3029,-37.8461555,144.71610619999996,$450 per week,22.2622,450.0
964,964,4.0,2.0,2.0,,5 Homebush Drive Tarneit VIC 3029,-37.8407584,144.6422479,$410,28.6478,410.0
965,965,4.0,2.0,2.0,,15 Gilbee Road Truganina VIC 3029,-37.818806,144.7097794,$450,22.6023,450.0
966,966,3.0,2.0,2.0,,2 Rosebud Street Tarneit VIC 3029,-37.8413095,144.6968271,$395,23.878,395.0
967,967,3.0,2.0,2.0,,97 Mossfiel Drive Hoppers Crossing VIC 3029,-37.8697495,144.690609,$340.00,24.9516,340.0
969,969,3.0,2.0,1.0,,3 Cheer Terrace Tarneit VIC 3029,-37.8307057,144.6675074,$390.00 per week,26.3548,390.0
970,970,4.0,2.0,2.0,,13 Angaston Way Truganina VIC 3029,-37.847372,144.7412209,$460,20.0998,460.0
971,971,4.0,2.0,2.0,,57 Terracotta Avenue Tarneit VIC 3029,-37.81132150000001,144.68258630000003,$500 per week,25.006,500.0
972,972,4.0,2.0,2.0,,51 Hoffman crescent Truganina VIC 3029,-37.8237152,144.7154563,$480,22.1112,480.0
973,973,4.0,2.0,2.0,,17 Rainier Drv Truganina VIC 3029,-37.7494044,144.67791699999995,$430,26.5407,430.0
974,974,3.0,2.0,1.0,,1/341 Hogans Road Tarneit VIC 3029,-37.8607398,144.6636513,$380.00 per week,27.0707,380.0
975,975,4.0,2.0,2.0,,27 Beckworth Boulevard Tarneit VIC 3029,-37.84052399999999,144.6496457,$450 per week,27.9977,450.0
976,976,4.0,2.0,2.0,,21 Toucan Road Tarneit VIC 3029,-37.83831989999999,144.67056430000005,$460,26.1444,460.0
977,977,4.0,2.0,2.0,,4 Jourama Road Truganina VIC 3029,-37.8377947,144.7070129,$480,22.9477,480.0
978,978,4.0,2.0,2.0,,5 Crissa Street Tarneit VIC 3029,-37.84067750000001,144.6561822,$420 per week,27.4269,420.0
979,979,4.0,2.0,2.0,,22 Buchan Court Hoppers Crossing VIC 3029,-37.8503218,144.6720219,$400,26.1642,400.0
980,980,4.0,2.0,2.0,420.0,9 Blairmont Crescent Tarneit VIC 3029,-37.8446453,144.6437405,$480 per week,28.5579,480.0
981,981,3.0,2.0,4.0,,334 MORRIS ROAD Hoppers Crossing VIC 3029,-37.8550433,144.7058764,$440,23.3059,440.0
982,982,4.0,2.0,2.0,,2 Yamada Street Truganina VIC 3029,-37.8237808,144.71279030000005,$465,22.3457,465.0
983,983,4.0,2.0,2.0,,3 Trevor Crescent Truganina VIC 3029,-37.8337542,144.7135403,$415.00,22.3375,415.0
984,984,4.0,2.0,2.0,,14 Loretta Boulevard Tarneit VIC 3029,-37.8442081,144.673405,$400,25.9598,400.0
985,985,3.0,2.0,1.0,,40 James Cook Drive Truganina VIC 3029,-37.8470984,144.7249645,$390,21.5068,390.0
986,986,4.0,2.0,2.0,,28 Codrington Road Truganina VIC 3029,-37.8248334,144.74869909999995,$440,19.1937,440.0
987,987,3.0,2.0,1.0,,55A Chlorinda Road Tarneit VIC 3029,-37.8508011,144.663727,$390,26.8939,390.0
