,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type
5178,"2/568 TOORAK ROAD, TOORAK",-37.842898,145.022652,4.0,1.0,2,$400_pw,Townhouse,January 2008,3142,2008,1,TOORAK,400,House
5179,"1 / 256 WILLIAMS ROAD, TOORAK",-37.842636,145.004488,2.0,1.0,1,$340_pw,none,June 2008,3142,2008,6,TOORAK,340,Other
5180,"27 CARTERS AVENUE, TOORAK",-37.842577,145.008978,3.0,2.0,1,$500,none,December 2008,3142,2008,12,TOORAK,500,Other
5181,"9 / 40 WASHINGTON STREET, TOORAK",-37.838334,145.009059,2.0,1.0,1,$400_pw,none,November 2008,3142,2008,11,TOORAK,400,Other
5182,"4/698 ORRONG ROAD, TOORAK",-37.843046,145.013773,2.0,1.0,0,$395_pw,Rental_residential,March 2008,3142,2008,3,TOORAK,395,Other
5184,"9/647 TOORAK ROAD, TOORAK",-37.843101,145.027238,1.0,1.0,1,$220_pw,Rental_residential,May 2008,3142,2008,5,TOORAK,220,Other
5185,"21/298 WILLIAMS ROAD, TOORAK",-37.837472,145.005491,1.0,1.0,0,$260_pw,none,October 2008,3142,2008,10,TOORAK,260,Other
5186,"3/7-9 ORMSBY GROVE, TOORAK",-37.843079,145.00912,2.0,1.0,1,$380_pw,Rental_residential,November 2008,3142,2008,11,TOORAK,380,Other
5187,"39/145 CANTERBURY ROAD, TOORAK",-37.84649,145.009589,1.0,1.0,1,$195_-_$845_pw,Rental_residential,June 2008,3142,2008,6,TOORAK,845,Other
5188,"39/145 CANTERBURY ROAD, TOORAK",-37.84649,145.009589,1.0,1.0,1,$195_pw,Rental_residential,May 2008,3142,2008,5,TOORAK,195,Other
5189,"39/145 CANTERBURY ROAD, TOORAK",-37.84649,145.009589,1.0,1.0,1,$195_-_$845_pw,Rental_residential,May 2008,3142,2008,5,TOORAK,845,Other
5190,"24 LORNA STREET, CRANBOURNE",-38.108254,145.277815,3.0,1.0,1,$240_per_week,House,October 2008,3977,2008,10,CRANBOURNE,240,House
