"11 Maggs Street, Croydon",CROYDON,3136,Maroondah City - Greater Area,House,3.0,1.0,2,460,-37.792,145.256546
"2 Neptune Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,House,2.0,1.0,1,625,-37.8198471,145.007
"705/89 Gladstone Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,550,-37.8301544,144.950058
"4/16 Clive Street, Brighton East",BRIGHTON EAST,3187,Bayside - Greater Area,ApartmentUnitFlat,2.0,1.0,0,370,-37.91435,145.0195
"163 Keele Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,House,3.0,2.0,1,730,-37.7977638,144.992142
"9 Keith Court, Brighton",BRIGHTON,3186,Bayside - Greater Area,House,5.0,4.0,5,"3,5",-37.9171829,144.988266
"125 Roseneath Street, Clifton Hill",CLIFTON HILL,3068,Yarra City Council - Greater Area,House,2.0,1.0,0,585,-37.79279,144.998947
"41/9-19 Miller Street, Fitzroy North",FITZROY NORTH,3068,Moreland City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,495,-37.7761841,144.979645
"423/347 Camberwell Rd, Camberwell",CAMBERWELL,3124,Boroondara City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,375,-37.8342056,145.060486
"709/77 River Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,590,-37.8368378,144.997452
"12/126 Wattle Valley Road, Camberwell",CAMBERWELL,3124,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,430,-37.8375244,145.081177
"4 Main Road, Clayton South",CLAYTON SOUTH,3169,Kingston City Council - Greater Area,House,3.0,2.0,2,595,-37.9312935,145.127777
"7/127 Hotham Street, Balaclava",BALACLAVA,3183,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,440,-37.8719444,144.998764
"49 Savoy Grove, Cranbourne North",CRANBOURNE NORTH,3977,Casey City - Greater Area,Townhouse,3.0,2.0,2,540,-38.07178,145.277863
"508/1 Powlett Street, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,700,-37.8161278,144.984985
"511/5 Olive York Way, Brunswick West",BRUNSWICK WEST,3055,Moreland City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,440,-37.7587357,144.939041
"912/87 Franklin Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,450,-37.8079376,144.9617
"804/3 Olive York Way, Brunswick West",BRUNSWICK WEST,3055,Moreland City Council - Greater Area,House,2.0,1.0,1,480,-37.75848,144.93869
