street_adress,suburb,postcode,area,property_type,bedrooms,bathrooms,carspaces,price,time,latitude,longitude
"101/17 Murrumbeena Road, Murrumbeena",MURRUMBEENA,3163,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,480,2022-08-29T12:14:50,-37.8858643,145.0668
"7/11-15 Basil Street, Newport",NEWPORT,3015,Hobsons Bay City Council - Greater Area,Townhouse,3.0,3.0,1,600,2022-08-29T12:14:23,-37.84629,144.865845
"G02/1309 Toorak Road, Camberwell",CAMBERWELL,3124,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,550,2022-08-29T12:11:29,-37.8493423,145.0893
"417/11 Urquhart Street, Coburg",COBURG,3058,Darebin City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,365,2022-08-29T12:08:22,-37.7401161,144.968063
"26 Austin Street, Hughesdale",HUGHESDALE,3166,Monash City - Greater Area,House,3.0,1.0,2,550,2022-08-29T12:07:16,-37.9068031,145.078644
"6/21 Chusan Street, Balaclava",BALACLAVA,3183,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,275,2022-08-29T12:03:24,-37.86735,144.998856
"38/400 Victoria Parade, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,3.0,2.0,2,770,2022-08-29T11:51:28,-37.8095627,144.984848
"1 Watson Street, Armadale",ARMADALE,3143,Stonnington - Greater Area,House,2.0,1.0,0,500,2022-08-29T11:49:45,-37.8502426,145.014877
"802/8 Joseph Road, Footscray",FOOTSCRAY,3011,Maribyrnong City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,470,2022-08-29T11:49:19,-37.7992134,144.909912
"6/7 Southey Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,295,2022-08-29T11:48:25,-37.87481,144.983841
"16 Neville Street, Bentleigh East",BENTLEIGH EAST,3165,Glen Eira Council - Greater Area,House,3.0,2.0,2,620,2022-08-29T11:46:50,-37.9239426,145.055328
"24/343 Church Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,2,620,2022-08-29T11:45:33,-37.8227844,144.998688
"37 Taylor Street, Fitzroy North",FITZROY NORTH,3068,Moreland City Council - Greater Area,Townhouse,3.0,3.0,2,"1,1",2022-08-29T11:40:10,-37.77453,144.980316
"3764 Point Nepean Road, Portsea",PORTSEA,3944,Mornington Peninsula & District - Greater Area,House,3.0,2.0,2,110,2022-08-29T11:38:31,-38.3199,144.714142
"P08P/191 Powlett Street, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,650,2022-08-29T11:26:47,-37.8100929,144.986053
"11 Bennett Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,House,2.0,1.0,0,565,2022-08-29T11:20:58,-37.8121262,145.00647
"10 Gellibrand Street, Williamstown",WILLIAMSTOWN,3016,Hobsons Bay City Council - Greater Area,House,3.0,1.0,0,530,2022-08-29T11:17:21,-37.8656273,144.891022
"1/27 Venus St, Caulfield South",CAULFIELD SOUTH,3162,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,430,2022-08-29T11:06:16,-37.8943176,145.014359
"69 Speight Street, Newport",NEWPORT,3015,Hobsons Bay City Council - Greater Area,House,3.0,1.0,1,550,2022-08-29T10:53:40,-37.8426,144.8747
"47A Turana Street, Doncaster",DONCASTER,3108,Manningham City - Greater Area,Townhouse,3.0,2.0,2,750,2022-08-29T10:52:59,-37.7837753,145.132538
"1313/268 Flinders Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,350,2022-08-29T10:47:03,-37.8178139,144.965576
"7/126 Wellington Parade, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,3.0,2.0,1,180,2022-08-29T10:32:57,-37.81621,144.985931
"5 Bemboka Avenue, Clayton South",CLAYTON SOUTH,3169,Kingston City Council - Greater Area,House,3.0,2.0,2,540,2022-08-29T10:28:45,-37.93846,145.110672
"313/11 Flockhart Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,425,2022-08-29T10:24:21,-37.8099747,145.006927
"811/2 Joseph Road, Footscray",FOOTSCRAY,3011,Maribyrnong City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,510,2022-08-29T10:16:27,-37.80033,144.909653
"210/79-81 Asling Street, Brighton",BRIGHTON,3186,Bayside - Greater Area,ApartmentUnitFlat,2.0,1.0,1,525,2022-08-29T10:16:18,-37.8974342,145.002731
"111/25 Truganini Road, Carnegie",CARNEGIE,3163,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,450,2022-08-29T09:58:17,-37.889164,145.054779
"402/1399 Dandenong Road, Malvern East",MALVERN EAST,3145,Stonnington - Greater Area,ApartmentUnitFlat,2.0,2.0,1,650,2022-08-29T09:54:02,-37.8907166,145.08374
"107/795 Toorak Road, Hawthorn East",HAWTHORN EAST,3123,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,HE ,2022-08-29T09:53:04,-37.8452377,145.044662
"4/13 Lillimur Road, Ormond",ORMOND,3204,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,550,2022-08-29T09:41:38,-37.9024925,145.041046
"1309/2 Claremont Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,370,2022-08-29T09:41:23,-37.8387833,144.993729
"7 Hardwicke Street, North Melbourne",NORTH MELBOURNE,3051,Melbourne City Council - Greater Area,House,3.0,1.0,0,400,2022-08-29T09:38:37,-37.79816,144.946915
"1/18 Aloomba Street, Chadstone",CHADSTONE,3148,Monash City - Greater Area,Townhouse,3.0,2.0,2,665,2022-08-29T09:23:19,-37.87984,145.0983
"6 Headland Drive, Leopold",LEOPOLD,3224,Geelong & District - Greater Area,House,4.0,2.0,2,480,2022-08-29T09:19:42,-38.2017822,144.457443
"5/12 Wyuna Rd, Caulfield North",CAULFIELD NORTH,3161,Glen Eira Council - Greater Area,Townhouse,2.0,1.0,1,440,2022-08-29T09:16:06,-37.8756676,145.032867
"5/3 Stanley Ave, Cheltenham",CHELTENHAM,3192,Bayside - Greater Area,Townhouse,2.0,2.0,1,525,2022-08-29T09:07:43,-37.9683266,145.056168
"7A Foden Street, Brunswick West",BRUNSWICK WEST,3055,Moreland City Council - Greater Area,House,4.0,3.0,2,"1,0",2022-08-29T09:02:48,-37.77047,144.9479
"107A/94 Canning Street, Carlton",CARLTON,3053,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,400,2022-08-29T08:03:34,-37.79685,144.973618
"108/24 Barkly Place, Carlton",CARLTON,3053,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,250,2022-08-28T18:10:38,-37.8030472,144.961548
"Unit 101/170 Albert St, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,460,2022-08-27T15:42:22,-37.80962,144.985275
"2/21-23 Westgate Street, Pascoe Vale South",PASCOE VALE SOUTH,3044,Moreland City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,420,2022-08-27T09:55:24,-37.73777,144.942062
"40 Church Street, Fitzroy North",FITZROY NORTH,3068,Moreland City Council - Greater Area,House,3.0,1.0,0,850,2022-08-26T20:07:47,-37.78847,144.9784
"19/30 Esplanade, Brighton",BRIGHTON,3186,Bayside - Greater Area,Townhouse,3.0,2.0,2,120,2022-08-26T18:10:20,-37.926178,144.98822
"301/79 River Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,2,795,2022-08-26T17:48:29,-37.8363342,144.997589
"2/67 Euston Road, Hughesdale",HUGHESDALE,3166,Monash City - Greater Area,Townhouse,2.0,1.0,2,500,2022-08-26T17:38:30,-37.89479,145.0871
"1014/65 Dudley Street, West Melbourne",WEST MELBOURNE,3003,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,460,2022-08-26T17:12:35,-37.8102226,144.9507
"4 Woodlands Avenue, Pascoe Vale South",PASCOE VALE SOUTH,3044,Moreland City Council - Greater Area,House,2.0,1.0,1,460,2022-08-26T16:52:27,-37.7494965,144.945663
"2/11 Therese Avenue, Mount Waverley",MOUNT WAVERLEY,3149,Monash City - Greater Area,ApartmentUnitFlat,3.0,1.0,2,495,2022-08-26T16:45:28,-37.8927536,145.116
"2A St Georges Cres, Ashburton",ASHBURTON,3147,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,2,380,2022-08-26T16:34:48,-37.8711357,145.069244
"34 Victoria Street, Sandringham",SANDRINGHAM,3191,Bayside - Greater Area,House,3.0,2.0,2,"1,3",2022-08-26T16:29:06,-37.9568443,145.0153
"2/30 Clarendon Avenue, Oakleigh South",OAKLEIGH SOUTH,3167,Kingston City Council - Greater Area,ApartmentUnitFlat,3.0,1.0,1,520,2022-08-26T16:09:24,-37.91241,145.101929
"304/7 Evergreen Mews, Armadale",ARMADALE,3143,Stonnington - Greater Area,ApartmentUnitFlat,2.0,2.0,2,700,2022-08-26T16:08:26,-37.851162,145.013382
"4 Lucerne Avenue, Mornington",MORNINGTON,3931,Mornington Peninsula & District - Greater Area,House,3.0,2.0,2,640,2022-08-26T16:08:06,-38.22081,145.050049
"30 High Street, Mont Albert",MONT ALBERT,3127,Boroondara City Council - Greater Area,House,4.0,2.0,2,"1,2",2022-08-26T16:05:08,-37.8167229,145.107651
"30 Woodside Street, Fitzroy North",FITZROY NORTH,3068,Moreland City Council - Greater Area,House,2.0,1.0,0,750,2022-08-26T15:57:29,-37.78483,144.990021
"5/265 Clayton Road, Clayton",CLAYTON,3168,Monash City - Greater Area,ApartmentUnitFlat,2.0,1.0,2,400,2022-08-26T15:50:27,-37.92025,145.1203
"42 O'Grady Street, Clifton Hill",CLIFTON HILL,3068,Yarra City Council - Greater Area,House,3.0,1.0,0,975,2022-08-26T15:36:04,-37.7868538,144.999
"5/158 Kangaroo Road, Hughesdale",HUGHESDALE,3166,Monash City - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400,2022-08-26T15:33:37,-37.9005661,145.081085
"305/63 Rouse Street, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,650,2022-08-26T15:27:02,-37.8440552,144.942368
"505/25 Nott Street, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,395,2022-08-26T15:26:57,-37.8418922,144.9375
"22 Union Street, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,House,3.0,2.0,2,HE ,2022-08-26T15:12:17,-37.8538132,144.984955
"115/18 Station Street, Sandringham",SANDRINGHAM,3191,Bayside - Greater Area,ApartmentUnitFlat,1.0,1.0,1,320,2022-08-26T14:58:34,-37.9489746,145.004272
"4/48-50 Ardyne Street, Murrumbeena",MURRUMBEENA,3163,Glen Eira Council - Greater Area,ApartmentUnitFlat,3.0,2.0,2,560,2022-08-26T14:55:32,-37.89523,145.06871
"12/45 Marine Parade, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,2,790,2022-08-26T14:46:50,-37.87445,144.97702
"1/2 Middlesex Road, Surrey Hills",SURREY HILLS,3127,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,460,2022-08-26T14:38:24,-37.8256264,145.089828
"1/34 Wynnstay Road, Prahran",PRAHRAN,3181,Stonnington - Greater Area,ApartmentUnitFlat,1.0,1.0,1,290,2022-08-26T14:34:08,-37.8530426,145.0108
"206/75 Wellington Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,470,2022-08-26T14:31:55,-37.80639,144.9859
"54 O'Grady Street, Albert Park",ALBERT PARK,3206,Port Philip City Council - Greater Area,House,3.0,2.0,1,"1,3",2022-08-26T14:26:44,-37.84281,144.953278
"7/47 Pakington Street, Kew",KEW,3101,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,380,2022-08-26T14:22:53,-37.80126,145.034714
"2807/81 Abeckett Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,680,2022-08-26T14:20:41,-37.809227,144.96138
"28/32 Adrian Street, Chadstone",CHADSTONE,3148,Monash City - Greater Area,House,4.0,2.0,2,650,2022-08-26T14:15:16,-37.88743,145.107132
"28b Hornby Street, Beaumaris",BEAUMARIS,3193,Bayside - Greater Area,House,5.0,2.0,4,"1,1",2022-08-26T14:12:29,-37.9802933,145.027649
"4/16 Manor Street, Brighton",BRIGHTON,3186,Bayside - Greater Area,ApartmentUnitFlat,3.0,2.0,1,620,2022-08-26T14:12:08,-37.91657,144.9898
"5/116 Dodds Street, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,3.0,1.0,1,675,2022-08-26T14:10:43,-37.82927,144.966766
"19/16-18 Poplar Street, Box Hill",BOX HILL,3128,Whitehorse City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,230,2022-08-26T14:10:43,-37.8150864,145.116165
"8/45 Ruskin Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400,2022-08-26T14:10:11,-37.8766441,144.98259
"10/26 Lillimur Road, Ormond",ORMOND,3204,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,415,2022-08-26T13:59:55,-37.9018822,145.041824
"49 Laity Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,House,2.0,1.0,0,600,2022-08-26T13:39:16,-37.8133125,145.002731
"16 Homewood Lane, Highton",HIGHTON,3216,Geelong & District - Greater Area,House,3.0,2.0,2,540,2022-08-26T13:36:02,-38.1895981,144.322083
"1903/61-63 Haig Street, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,420,2022-08-26T13:31:54,-37.8276672,144.9567
"24/746 Orrong Road, Toorak",TOORAK,3142,Stonnington - Greater Area,ApartmentUnitFlat,2.0,1.0,1,480,2022-08-26T13:23:19,-37.8382,145.014648
"90 Sutherland Rd, Armadale",ARMADALE,3143,Stonnington - Greater Area,House,3.0,2.0,1,950,2022-08-26T13:20:21,-37.85593,145.017761
"213/102-118 Camberwell Rd, Hawthorn East",HAWTHORN EAST,3123,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,2,520,2022-08-26T12:59:16,-37.8279839,145.052231
"103/51 Ormond Esplanade, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,550,2022-08-26T12:40:36,-37.8860931,144.983078
"12/22 The Esplanade, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,435,2022-08-26T12:39:50,-37.86624,144.975784
"504/466 Smith Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,430,2022-08-26T12:32:41,-37.79469,144.985321
"8 Gillies St, Hampton",HAMPTON,3188,Bayside - Greater Area,House,3.0,1.0,2,800,2022-08-26T12:30:38,-37.94063,145.006989
"25 Holroyd Avenue, St Kilda East",ST KILDA EAST,3183,Glen Eira Council - Greater Area,House,5.0,2.0,4,"1,6",2022-08-26T12:26:44,-37.8644447,145.007034
"51/378-390 St Georges Road, Fitzroy North",FITZROY NORTH,3068,Moreland City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,450,2022-08-26T12:08:58,-37.7784843,144.988251
"17/170 McKinnon Rd, Mckinnon",MCKINNON,3204,Glen Eira Council - Greater Area,Townhouse,3.0,2.0,2,700,2022-08-26T12:05:27,-37.911335,145.03923
"112/55 Camberwell Road, Hawthorn East",HAWTHORN EAST,3123,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,650,2022-08-26T11:47:40,-37.82587,145.050644
"603/611 Sydney Road, Brunswick",BRUNSWICK,3056,Moreland City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,420,2022-08-26T11:42:49,-37.7626076,144.9626
"94 Helen Street, Northcote",NORTHCOTE,3070,Darebin City Council - Greater Area,House,3.0,1.0,1,720,2022-08-26T11:34:34,-37.77007,144.997665
"20 Lord Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,Townhouse,2.0,2.0,2,790,2022-08-26T11:31:45,-37.8207321,145.004776
"Level 35, 3501/7 Riverside Quay, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,850,2022-08-26T11:16:23,-37.8213348,144.964691
"2/21 Hopkins Street, Mckinnon",MCKINNON,3204,Glen Eira Council - Greater Area,ApartmentUnitFlat,3.0,2.0,1,650,2022-08-26T11:04:13,-37.91047,145.026871
"1/21 Hopkins Street, Mckinnon",MCKINNON,3204,Glen Eira Council - Greater Area,ApartmentUnitFlat,3.0,2.0,2,700,2022-08-26T10:58:32,-37.91054,145.02681
"4/6 Koormiel Lane, Fitzroy North",FITZROY NORTH,3068,Moreland City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,285,2022-08-26T10:45:19,-37.788208,144.9899
"120 Glen Huntly Road, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,Townhouse,4.0,4.0,2,"1,9",2022-08-26T10:41:44,-37.8831978,144.989426
"305/380 Bay Street, Brighton",BRIGHTON,3186,Bayside - Greater Area,ApartmentUnitFlat,1.0,1.0,1,450,2022-08-26T10:39:19,-37.90595,145.0048
"13/114 Mason Street, Newport",NEWPORT,3015,Hobsons Bay City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,420,2022-08-26T10:16:32,-37.84096,144.8739
"11 Shaftesbury Ave, Malvern",MALVERN,3144,Stonnington - Greater Area,House,4.0,2.0,2,"1,1",2022-08-26T09:55:18,-37.8544731,145.038116
"26a Bonny Street, Bentleigh East",BENTLEIGH EAST,3165,Glen Eira Council - Greater Area,House,4.0,3.0,2,"1,3",2022-08-26T09:49:22,-37.9319458,145.060654
"37 Award Crescent, Truganina",TRUGANINA,3029,Melton City - Greater Area,House,3.0,2.0,3,410,2022-08-26T09:46:09,-37.84844,144.715912
"93 Kirkwood Avenue, Seaford",SEAFORD,3198,Frankston Council - Greater Area,House,3.0,1.0,3,550,2022-08-26T09:39:57,-38.1246719,145.130661
"605/51 Thislethwaite Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,600,2022-08-26T09:37:54,-37.83136,144.952255
"55 Durrant Street, Brighton",BRIGHTON,3186,Bayside - Greater Area,House,4.0,2.0,2,130,2022-08-26T09:34:20,-37.9109573,145.005615
"312/416 Gore Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,2,595,2022-08-26T09:25:59,-37.7968063,144.984024
"24 Gardiner Parade, Glen Iris",GLEN IRIS,3146,Boroondara City Council - Greater Area,House,5.0,2.0,2,155,2022-08-26T09:14:33,-37.8542252,145.064438
"3/24 Auburn Grove, Hawthorn East",HAWTHORN EAST,3123,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,425,2022-08-26T09:04:15,-37.82588,145.0474
"1/7 Tiernan Street, Preston",PRESTON,3072,Darebin City Council - Greater Area,Townhouse,2.0,2.0,1,560,2022-08-26T08:05:14,-37.75122,145.016937
"31 Buckingham St, Footscray",FOOTSCRAY,3011,Maribyrnong City Council - Greater Area,House,2.0,1.0,0,480,2022-08-26T07:21:10,-37.80129,144.890121
"39 Jervois Street, St Kilda East",ST KILDA EAST,3183,Glen Eira Council - Greater Area,Townhouse,3.0,3.0,1,"1,1",2022-08-25T23:07:36,-37.86531,144.9951
"214/181 St Kilda Road, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,390,2022-08-25T19:43:37,-37.8608437,144.984
"11/51 Stockade Ave, Coburg",COBURG,3058,Darebin City Council - Greater Area,Townhouse,5.0,4.0,1,670,2022-08-25T19:29:49,-37.73937,144.968887
"1A Erowal Street, Beaumaris",BEAUMARIS,3193,Bayside - Greater Area,Townhouse,4.0,2.0,2,130,2022-08-25T19:20:25,-37.9711151,145.036636
"4 Waratah Avenue, Beaumaris",BEAUMARIS,3193,Bayside - Greater Area,House,3.0,1.0,3,600,2022-08-25T19:10:15,-37.978363,145.03067
"33 Deakin Street, Bentleigh East",BENTLEIGH EAST,3165,Glen Eira Council - Greater Area,House,3.0,2.0,2,875,2022-08-25T18:32:03,-37.9139328,145.065552
"2/39 Walpole Street, Kew",KEW,3101,Boroondara City Council - Greater Area,Townhouse,3.0,1.0,1,525,2022-08-25T18:04:09,-37.80371,145.0315
"1/28 Seymour Grove, Camberwell",CAMBERWELL,3124,Boroondara City Council - Greater Area,ApartmentUnitFlat,3.0,1.0,2,650,2022-08-25T17:28:59,-37.835392,145.059113
"1/12 Toward Street, Murrumbeena",MURRUMBEENA,3163,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,350,2022-08-25T17:20:29,-37.89253,145.070053
"5003/464-466 Collins Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,550,2022-08-25T17:17:54,-37.8175545,144.958633
"2/9 Dickens Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,440,2022-08-25T17:03:51,-37.871788,144.987564
"11 Maggs Street, Croydon",CROYDON,3136,Maroondah City - Greater Area,House,3.0,1.0,2,460,2022-08-25T16:58:23,-37.792,145.256546
"2 Neptune Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,House,2.0,1.0,1,625,2022-08-25T16:56:37,-37.8198471,145.007
"705/89 Gladstone Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,550,2022-08-25T16:55:32,-37.8301544,144.950058
"4/16 Clive Street, Brighton East",BRIGHTON EAST,3187,Bayside - Greater Area,ApartmentUnitFlat,2.0,1.0,0,370,2022-08-25T16:48:09,-37.91435,145.0195
"163 Keele Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,House,3.0,2.0,1,730,2022-08-25T16:47:46,-37.7977638,144.992142
"9 Keith Court, Brighton",BRIGHTON,3186,Bayside - Greater Area,House,5.0,4.0,5,"3,5",2022-08-25T16:43:04,-37.9171829,144.988266
"125 Roseneath Street, Clifton Hill",CLIFTON HILL,3068,Yarra City Council - Greater Area,House,2.0,1.0,0,585,2022-08-25T15:57:08,-37.79279,144.998947
"41/9-19 Miller Street, Fitzroy North",FITZROY NORTH,3068,Moreland City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,495,2022-08-25T15:57:08,-37.7761841,144.979645
"423/347 Camberwell Rd, Camberwell",CAMBERWELL,3124,Boroondara City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,375,2022-08-25T15:56:06,-37.8342056,145.060486
"709/77 River Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,590,2022-08-25T15:46:00,-37.8368378,144.997452
"12/126 Wattle Valley Road, Camberwell",CAMBERWELL,3124,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,430,2022-08-25T15:34:25,-37.8375244,145.081177
"4 Main Road, Clayton South",CLAYTON SOUTH,3169,Kingston City Council - Greater Area,House,3.0,2.0,2,595,2022-08-25T15:32:22,-37.9312935,145.127777
"7/127 Hotham Street, Balaclava",BALACLAVA,3183,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,440,2022-08-25T15:27:37,-37.8719444,144.998764
"49 Savoy Grove, Cranbourne North",CRANBOURNE NORTH,3977,Casey City - Greater Area,Townhouse,3.0,2.0,2,540,2022-08-25T15:26:08,-38.07178,145.277863
"508/1 Powlett Street, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,700,2022-08-25T15:24:35,-37.8161278,144.984985
"511/5 Olive York Way, Brunswick West",BRUNSWICK WEST,3055,Moreland City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,440,2022-08-25T15:23:57,-37.7587357,144.939041
"912/87 Franklin Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,450,2022-08-25T15:10:21,-37.8079376,144.9617
"804/3 Olive York Way, Brunswick West",BRUNSWICK WEST,3055,Moreland City Council - Greater Area,House,2.0,1.0,1,480,2022-08-25T15:09:44,-37.75848,144.93869
"3/113 Bay Road, Sandringham",SANDRINGHAM,3191,Bayside - Greater Area,ApartmentUnitFlat,2.0,1.0,1,625,2022-08-25T15:07:57,-37.9528732,145.015762
"10/21-23 Hotham Street, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,495,2022-08-25T15:05:24,-37.81482,144.989868
"20 Ingles Street, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,House,2.0,1.0,0,650,2022-08-25T15:05:06,-37.8351936,144.948639
"34/18-20 Esplanade, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,700,2022-08-25T15:02:33,-37.8657722,144.975052
"28/99 Hotham Street, Balaclava",BALACLAVA,3183,Port Philip City Council - Greater Area,Townhouse,2.0,2.0,1,680,2022-08-25T14:54:17,-37.86869,144.999084
"805/528 Swanston Street, Carlton",CARLTON,3053,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,275,2022-08-25T14:48:27,-37.80422,144.963608
"25 Spicer Street, Beaumaris",BEAUMARIS,3193,Bayside - Greater Area,House,4.0,2.0,2,"1,0",2022-08-25T14:46:52,-37.9771,145.048538
"106/36 Regent Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,650,2022-08-25T14:42:26,-37.81116,144.991974
"104/7 Ordnance Reserve, Maribyrnong",MARIBYRNONG,3032,Maribyrnong City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,340,2022-08-25T14:40:33,-37.77047,144.879883
"32a Gilarth Street, Highett",HIGHETT,3190,Bayside - Greater Area,Townhouse,3.0,2.0,2,895,2022-08-25T14:37:43,-37.9487457,145.0293
"13/21 Hotham Street, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,425,2022-08-25T14:34:10,-37.81482,144.989868
"208/6 Acacia Place, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,430,2022-08-25T14:24:31,-37.81151,145.013885
"18 Amaya Way, Rockbank",ROCKBANK,3335,Melton City - Greater Area,House,3.0,2.0,0,385,2022-08-25T14:15:27,-37.7340355,144.660278
"13/9 Fitzroy Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,430,2022-08-25T14:08:18,-37.86263,144.973221
"26 Lygon Street, Caulfield South",CAULFIELD SOUTH,3162,Glen Eira Council - Greater Area,House,2.0,1.0,3,450,2022-08-25T14:07:24,-37.89916,145.024
